Year,Value,Units,Series
2022,18.0,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2018,18.2,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2012,19.2,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2011,18.6,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2017,19.2,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2021,18.1,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2019,18.4,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2010,19.6,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2016,19.2,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2015,19.1,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2014,19.3,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2023,16.1,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2020,18.5,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2013,18.6,Kg por hectárea,Emisiones de amoníaco de la agricultura y ganadería por hectárea
2012,4.2,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2011,4.1,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2023,3.6,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2017,4.3,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2019,4.1,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2021,4.0,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2010,4.3,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2018,4.0,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2016,4.2,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2020,4.1,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2022,4.0,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2014,4.3,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2015,4.2,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
2013,4.1,Kilotoneladas,Emisiones de amoníaco de la agricultura y ganadería
