Year,Value,Units,Series
2017,8.3,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2013,8.2,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2010,6.0,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2018,7.5,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2011,7.9,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2020,8.4,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2019,6.6,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2015,7.7,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2012,8.3,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2023,6.4,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2021,6.8,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2022,7.9,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2014,8.6,Por 100.000 habitantes,Tasa de mortalidad por suicidio
2016,8.3,Por 100.000 habitantes,Tasa de mortalidad por suicidio
