Year,Value,Units,Series
2013,91.22,%,GF_XPD_GBPC
2018,99.46,%,GF_XPD_GBPC
2017,106.06,%,EU_XPD_LOCALGBPC
2022,105.06,%,GF_XPD_GBPC
2019,106.56,%,GF_XPD_GBPC
2014,98.26,%,GF_XPD_GBPC
2017,97.52,%,GF_XPD_GBPC
2021,107.29,%,EU_XPD_LOCALGBPC
2012,97.69,%,GF_XPD_GBPC
2020,90.48,%,EU_XPD_LOCALGBPC
2021,101.01,%,GF_XPD_GBPC
2020,99.79,%,GF_XPD_GBPC
2015,95.46,%,GF_XPD_GBPC
2010,100.0,%,GF_XPD_GBPC
2022,103.74,%,EU_XPD_LOCALGBPC
2023,101.37,%,EU_XPD_LOCALGBPC
2018,101.54,%,EU_XPD_LOCALGBPC
2019,100.69,%,EU_XPD_LOCALGBPC
2016,94.36,%,GF_XPD_GBPC
2011,96.27,%,GF_XPD_GBPC
