Year,Value,Units
2010,32.1,Porcentaje
2011,32.0,Porcentaje
2012,32.7,Porcentaje
2013,34.6,Porcentaje
2014,33.8,Porcentaje
2015,34.6,Porcentaje
2016,34.3,Porcentaje
2017,34.0,Porcentaje
2018,35.4,Porcentaje
2019,36.5,Porcentaje
2020,37.4,Porcentaje
2021,37.2,Porcentaje
2022,35.3,Porcentaje
2023,34.8,Porcentaje
