Year,Value,Units,Series
2019,99.97,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2013,99.5,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2020,99.99,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2016,99.85,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2017,99.96,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2018,99.97,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2014,99.4,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2015,99.89,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2012,96.6,%,"Proporción de hogares cubiertos con redes móviles 3,5G"
2019,99.95,%,Proporción de hogares cubiertos con redes móviles 4G
2024,99.96,%,Proporción de hogares cubiertos con redes móviles 4G
2021,99.99,%,Proporción de hogares cubiertos con redes móviles 4G
2015,79.64,%,Proporción de hogares cubiertos con redes móviles 4G
2017,99.01,%,Proporción de hogares cubiertos con redes móviles 4G
2020,99.98,%,Proporción de hogares cubiertos con redes móviles 4G
2022,99.97,%,Proporción de hogares cubiertos con redes móviles 4G
2018,99.89,%,Proporción de hogares cubiertos con redes móviles 4G
2016,93.46,%,Proporción de hogares cubiertos con redes móviles 4G
2014,55.1,%,Proporción de hogares cubiertos con redes móviles 4G
2023,99.96,%,Proporción de hogares cubiertos con redes móviles 4G
2023,95.8,%,Proporción de hogares cubiertos con redes móviles 5G
2024,97.2,%,Proporción de hogares cubiertos con redes móviles 5G
2021,66.8,%,Proporción de hogares cubiertos con redes móviles 5G
2022,84.6,%,Proporción de hogares cubiertos con redes móviles 5G
