Year,Value,Units
2008,4.4,Porcentaje
2012,4.1,Porcentaje
2014,5.2,Porcentaje
2016,4.8,Porcentaje
2018,5.9,Porcentaje
2020,6.0,Porcentaje
2022,6.0,Porcentaje
