Year,Value,Units,Series
2010,2.0,%,Gastos en investigación y desarrollo en proporción al PIB
2013,2.0,%,Gastos en investigación y desarrollo en proporción al PIB
2018,1.8,%,Gastos en investigación y desarrollo en proporción al PIB
2016,1.8,%,Gastos en investigación y desarrollo en proporción al PIB
2023,2.2,%,Gastos en investigación y desarrollo en proporción al PIB
2019,1.8,%,Gastos en investigación y desarrollo en proporción al PIB
2014,1.9,%,Gastos en investigación y desarrollo en proporción al PIB
2022,2.1,%,Gastos en investigación y desarrollo en proporción al PIB
2012,2.1,%,Gastos en investigación y desarrollo en proporción al PIB
2021,2.1,%,Gastos en investigación y desarrollo en proporción al PIB
2011,2.0,%,Gastos en investigación y desarrollo en proporción al PIB
2017,1.8,%,Gastos en investigación y desarrollo en proporción al PIB
2015,1.8,%,Gastos en investigación y desarrollo en proporción al PIB
2020,2.1,%,Gastos en investigación y desarrollo en proporción al PIB
