Year,Value,Units
2025,1.53,Por 1.000 habitantes
2010,3.2,Por 1.000 habitantes
2011,2.91,Por 1.000 habitantes
2020,1.64,Por 1.000 habitantes
2013,2.76,Por 1.000 habitantes
2016,2.29,Por 1.000 habitantes
2017,2.14,Por 1.000 habitantes
2023,1.58,Por 1.000 habitantes
2014,2.73,Por 1.000 habitantes
2012,2.94,Por 1.000 habitantes
2024,1.32,Por 1.000 habitantes
2018,1.79,Por 1.000 habitantes
2022,1.58,Por 1.000 habitantes
2021,1.55,Por 1.000 habitantes
2019,1.94,Por 1.000 habitantes
2015,2.39,Por 1.000 habitantes
