Year,Value,Units
2010,31.9,%
2011,33.1,%
2012,33.3,%
2013,32.7,%
2014,32.3,%
2015,32.2,%
2016,32.6,%
2017,32.8,%
2018,32.8,%
2019,33.5,%
2020,35.2,%
2021,32.4,%
