Year,Value,Units
2011,3.4,Por 1.000 nacidos vivos
2010,3.5,Por 1.000 nacidos vivos
2020,3.1,Por 1.000 nacidos vivos
2014,2.9,Por 1.000 nacidos vivos
2013,2.8,Por 1.000 nacidos vivos
2024,2.3,Por 1.000 nacidos vivos
2021,2.9,Por 1.000 nacidos vivos
2019,3.6,Por 1.000 nacidos vivos
2023,3.1,Por 1.000 nacidos vivos
2016,3.2,Por 1.000 nacidos vivos
2015,3.4,Por 1.000 nacidos vivos
2018,3.6,Por 1.000 nacidos vivos
2012,3.2,Por 1.000 nacidos vivos
2017,2.8,Por 1.000 nacidos vivos
2022,3.6,Por 1.000 nacidos vivos
