Year,Value,Units,Series
2017,2.0,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2013,1.7,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2010,1.3,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2018,1.4,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2011,1.3,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2020,1.8,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2019,1.5,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2015,1.6,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2012,1.2,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2023,1.8,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2021,1.8,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2022,1.9,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2014,1.8,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
2016,1.8,Por 100.000 habitantes,Tasa de mortalidad atribuida a intoxicaciones involuntarias
