Year,Value,Units
2008,12.6,Porcentaje
2012,14.7,Porcentaje
2014,16.7,Porcentaje
2016,15.6,Porcentaje
2018,15.1,Porcentaje
2020,13.4,Porcentaje
2022,14.6,Porcentaje
