Year,Sex,Units,Value
2016,,"Per 100,000",0.5
2023,,"Per 100,000",0.1
2022,,"Per 100,000",0.5
2010,,"Per 100,000",1.6
2020,,"Per 100,000",0.4
2017,,"Per 100,000",0.9
2015,,"Per 100,000",0.7
2013,,"Per 100,000",1.1
2014,,"Per 100,000",1.1
2024,,"Per 100,000",0.5
2021,,"Per 100,000",0.6
2019,,"Per 100,000",0.2
2012,,"Per 100,000",0.9
2011,,"Per 100,000",1.1
2018,,"Per 100,000",0.6
2010,Female,"Per 100,000",0.5
2011,Female,"Per 100,000",0.2
2012,Female,"Per 100,000",0.4
2014,Female,"Per 100,000",0.4
2015,Female,"Per 100,000",0.3
2016,Female,"Per 100,000",0.3
2017,Female,"Per 100,000",0.2
2019,Female,"Per 100,000",0.2
2013,Female,"Per 100,000",0.4
2020,Female,"Per 100,000",0.2
2021,Female,"Per 100,000",0.1
2022,Female,"Per 100,000",0.2
2018,Female,"Per 100,000",0.3
2023,Female,"Per 100,000",0.0
2024,Female,"Per 100,000",0.1
2024,Male,"Per 100,000",0.8
2017,Male,"Per 100,000",1.7
2013,Male,"Per 100,000",1.7
2010,Male,"Per 100,000",2.8
2018,Male,"Per 100,000",1.0
2019,Male,"Per 100,000",0.3
2011,Male,"Per 100,000",2.0
2014,Male,"Per 100,000",1.9
2020,Male,"Per 100,000",0.7
2021,Male,"Per 100,000",1.1
2015,Male,"Per 100,000",1.1
2012,Male,"Per 100,000",1.4
2022,Male,"Per 100,000",0.9
2023,Male,"Per 100,000",0.2
2016,Male,"Per 100,000",0.7
