Year,Series,Units,Value
2016,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,21507.9
2017,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,26656.6
2020,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,22965.0
2013,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,18163.8
2018,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,28476.5
2015,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,23794.7
2022,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,22897.1
2011,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,23308.8
2012,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,21098.6
2019,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,27538.3
2010,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,30845.5
2014,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,19620.0
2021,Materialen etxeko kontsumoa termino absolutuetan,Kilotonelatuak,26738.0
2020,Materialen etxeko kontsumoa per capita,Tonak per capita,10.5
2013,Materialen etxeko kontsumoa per capita,Tonak per capita,8.3
2016,Materialen etxeko kontsumoa per capita,Tonak per capita,9.9
2015,Materialen etxeko kontsumoa per capita,Tonak per capita,11.0
2022,Materialen etxeko kontsumoa per capita,Tonak per capita,10.5
2012,Materialen etxeko kontsumoa per capita,Tonak per capita,9.7
2011,Materialen etxeko kontsumoa per capita,Tonak per capita,10.7
2014,Materialen etxeko kontsumoa per capita,Tonak per capita,9.0
2021,Materialen etxeko kontsumoa per capita,Tonak per capita,12.2
2018,Materialen etxeko kontsumoa per capita,Tonak per capita,13.0
2010,Materialen etxeko kontsumoa per capita,Tonak per capita,14.2
2019,Materialen etxeko kontsumoa per capita,Tonak per capita,12.6
2017,Materialen etxeko kontsumoa per capita,Tonak per capita,12.2
2010,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,407.5
2011,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,307.2
2012,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,283.9
2015,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,311.8
2013,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,249.1
2014,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,264.6
2016,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,272.9
2017,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,329.1
2018,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,341.0
2019,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,322.4
2020,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,296.9
2021,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,325.9
2022,"Materialen etxeko kontsumoa, BPGaren arabera",Kg BPGd-ko euro bakoitzeko,264.1
