Year,Territorio histórico,Units,Value
2013,,Porcentaje,0.6
2010,,Porcentaje,1.6
2017,,Porcentaje,0.8
2012,,Porcentaje,0.9
2022,,Porcentaje,3.7
2018,,Porcentaje,0.9
2014,,Porcentaje,0.9
2011,,Porcentaje,1.5
2019,,Porcentaje,1.1
2021,,Porcentaje,4.8
2016,,Porcentaje,1.2
2020,,Porcentaje,-7.8
2015,,Porcentaje,0.9
2015,Araba/Álava,Porcentaje,1.5
2016,Araba/Álava,Porcentaje,0.8
2013,Araba/Álava,Porcentaje,0.7
2019,Araba/Álava,Porcentaje,0.9
2010,Araba/Álava,Porcentaje,1.5
2017,Araba/Álava,Porcentaje,-0.2
2014,Araba/Álava,Porcentaje,2.5
2018,Araba/Álava,Porcentaje,0.0
2020,Araba/Álava,Porcentaje,-8.5
2022,Araba/Álava,Porcentaje,1.8
2011,Araba/Álava,Porcentaje,2.4
2021,Araba/Álava,Porcentaje,6.1
2012,Araba/Álava,Porcentaje,0.8
2011,Bizkaia,Porcentaje,1.4
2015,Bizkaia,Porcentaje,0.4
2017,Bizkaia,Porcentaje,1.3
2018,Bizkaia,Porcentaje,0.8
2019,Bizkaia,Porcentaje,0.8
2021,Bizkaia,Porcentaje,4.3
2022,Bizkaia,Porcentaje,5.1
2010,Bizkaia,Porcentaje,1.4
2012,Bizkaia,Porcentaje,0.7
2013,Bizkaia,Porcentaje,1.0
2014,Bizkaia,Porcentaje,0.7
2020,Bizkaia,Porcentaje,-7.0
2016,Bizkaia,Porcentaje,1.3
2020,Gipuzkoa,Porcentaje,-8.6
2021,Gipuzkoa,Porcentaje,4.9
2022,Gipuzkoa,Porcentaje,2.6
2010,Gipuzkoa,Porcentaje,1.8
2011,Gipuzkoa,Porcentaje,1.0
2012,Gipuzkoa,Porcentaje,1.3
2013,Gipuzkoa,Porcentaje,-0.1
2014,Gipuzkoa,Porcentaje,0.4
2015,Gipuzkoa,Porcentaje,1.2
2016,Gipuzkoa,Porcentaje,1.3
2017,Gipuzkoa,Porcentaje,0.5
2018,Gipuzkoa,Porcentaje,1.4
2019,Gipuzkoa,Porcentaje,1.7
