Year,Series,Units,Value
2022,Proportion of people living in a home with humidity problems,%,12.4
2012,Proportion of people living in a home with humidity problems,%,8.8
2018,Proportion of people living in a home with humidity problems,%,14.2
2008,Proportion of people living in a home with humidity problems,%,7.7
2016,Proportion of people living in a home with humidity problems,%,12.3
2020,Proportion of people living in a home with humidity problems,%,10.5
2014,Proportion of people living in a home with humidity problems,%,11.8
2024,Proportion of people living in a home with humidity problems,%,9.8
2022,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2016,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2018,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2014,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2020,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2008,Proportion of people living in a home without a toilet or bathtub/shower,%,0.4
2012,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2024,Proportion of people living in a home without a toilet or bathtub/shower,%,0.0
2008,Proportion of people living in a home with noise and pollution exposure problems,%,11.0
2014,Proportion of people living in a home with noise and pollution exposure problems,%,8.5
2012,Proportion of people living in a home with noise and pollution exposure problems,%,13.9
2016,Proportion of people living in a home with noise and pollution exposure problems,%,9.2
2018,Proportion of people living in a home with noise and pollution exposure problems,%,9.2
2022,Proportion of people living in a home with noise and pollution exposure problems,%,8.0
2020,Proportion of people living in a home with noise and pollution exposure problems,%,8.9
2024,Proportion of people living in a home with noise and pollution exposure problems,%,7.4
2008,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,5.7
2012,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,12.2
2014,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,3.3
2016,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,5.4
2022,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,3.1
2018,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,4.0
2020,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,3.3
2024,"Proportion of people living in a dark home, without sufficient light, or with little natural light",%,4.3
