Year,Series,Province,Units,Value
2018,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",71.2
2012,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",98.3
2016,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",78.5
2022,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",52.0
2014,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",83.7
2011,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",101.0
2021,"Automated teller machines per 100,000 inhabitants aged 15 and over",,"Per 100,000",123.3
2023,"Automated teller machines per 100,000 inhabitants aged 15 and over",,"Per 100,000",117.2
2023,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",50.8
2022,"Automated teller machines per 100,000 inhabitants aged 15 and over",,"Per 100,000",119.0
2013,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",89.6
2019,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",67.7
2021,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",56.5
2024,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",50.2
2020,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",62.1
2024,"Automated teller machines per 100,000 inhabitants aged 15 and over",,"Per 100,000",111.5
2017,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",73.7
2015,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",82.2
2010,"Commercial bank branches per 100,000 inhabitants aged 15 and over",,"Per 100,000",103.5
2021,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",58.6
2020,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",63.1
2021,"Automated teller machines per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",109.6
2018,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",72.2
2023,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",53.0
2016,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",83.6
2022,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",54.1
2010,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",122.4
2011,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",117.6
2023,"Automated teller machines per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",103.6
2024,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",52.2
2017,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",75.8
2014,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",93.7
2024,"Automated teller machines per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",97.6
2015,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",91.6
2013,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",102.6
2012,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",114.3
2022,"Automated teller machines per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",105.2
2019,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Araba/Álava,"Per 100,000",68.5
2022,"Automated teller machines per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",114.1
2013,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",85.9
2024,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",48.2
2012,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",96.1
2011,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",98.8
2022,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",50.2
2010,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",101.3
2023,"Automated teller machines per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",111.9
2023,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",49.0
2019,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",65.8
2024,"Automated teller machines per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",106.4
2015,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",78.4
2014,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",79.5
2017,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",70.9
2020,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",59.6
2016,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",75.3
2021,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",54.1
2021,"Automated teller machines per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",116.1
2018,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Bizkaia,"Per 100,000",68.9
2013,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",89.7
2022,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",54.0
2015,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",84.3
2020,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",65.8
2019,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",70.6
2011,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",96.9
2010,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",98.7
2018,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",74.5
2021,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",59.4
2024,"Automated teller machines per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",126.1
2023,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",52.6
2022,"Automated teller machines per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",133.1
2017,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",77.3
2023,"Automated teller machines per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",131.9
2016,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",81.2
2014,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",86.0
2021,"Automated teller machines per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",141.1
2012,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",94.7
2024,"Commercial bank branches per 100,000 inhabitants aged 15 and over",Gipuzkoa,"Per 100,000",52.4
