Year,Series,Tratamiento,Territorio,Units,Value
2019,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES213,PT,76.8
2019,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,0.9
2015,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,6.6
2020,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,9.1
2011,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,0.0
2016,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,6.6
2010,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,0.0
2022,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,7.0
2018,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,5.3
2017,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,5.1
2014,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,7.1
2013,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,0.0
2012,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,0.0
2021,EN_MWT_TREATV,WT_INCINRT_AND_EGY,ES212,PT,7.1
2019,EN_MWT_TREATV,WT_COMPOST,,PT,6.7
2016,EN_MWT_TREATV,WT_COMPOST,,PT,4.7
2015,EN_MWT_TREATV,WT_COMPOST,,PT,4.3
2022,EN_MWT_TREATV,WT_COMPOST,,PT,7.6
2020,EN_MWT_TREATV,WT_COMPOST,,PT,7.2
2011,EN_MWT_TREATV,WT_COMPOST,,PT,2.0
2014,EN_MWT_TREATV,WT_COMPOST,,PT,3.6
2021,EN_MWT_TREATV,WT_COMPOST,,PT,7.1
2012,EN_MWT_TREATV,WT_COMPOST,,PT,1.8
2013,EN_MWT_TREATV,WT_COMPOST,,PT,2.2
2010,EN_MWT_TREATV,WT_COMPOST,,PT,1.7
2017,EN_MWT_TREATV,WT_COMPOST,,PT,5.1
2018,EN_MWT_TREATV,WT_COMPOST,,PT,5.8
2012,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.9
2011,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.9
2014,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.0
2017,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.3
2018,EN_MWT_TREATV,WT_COMPOST,ES211,PT,3.6
2016,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.9
2015,EN_MWT_TREATV,WT_COMPOST,ES211,PT,2.2
2022,EN_MWT_TREATV,WT_COMPOST,ES211,PT,8.0
2021,EN_MWT_TREATV,WT_COMPOST,ES211,PT,4.7
2020,EN_MWT_TREATV,WT_COMPOST,ES211,PT,5.3
2010,EN_MWT_TREATV,WT_COMPOST,ES211,PT,3.0
2019,EN_MWT_TREATV,WT_COMPOST,ES211,PT,5.9
2013,EN_MWT_TREATV,WT_COMPOST,ES211,PT,0.0
2022,EN_MWT_TREATV,WT_COMPOST,ES213,PT,3.0
2016,EN_MWT_TREATV,WT_COMPOST,ES213,PT,1.1
2017,EN_MWT_TREATV,WT_COMPOST,ES213,PT,1.2
2019,EN_MWT_TREATV,WT_COMPOST,ES213,PT,1.9
2015,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.9
2010,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.5
2013,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.8
2011,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.9
2012,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.4
2021,EN_MWT_TREATV,WT_COMPOST,ES213,PT,2.6
2014,EN_MWT_TREATV,WT_COMPOST,ES213,PT,0.9
2020,EN_MWT_TREATV,WT_COMPOST,ES213,PT,2.1
2018,EN_MWT_TREATV,WT_COMPOST,ES213,PT,1.6
2019,EN_MWT_TREATV,WT_COMPOST,ES212,PT,16.0
2018,EN_MWT_TREATV,WT_COMPOST,ES212,PT,13.8
2017,EN_MWT_TREATV,WT_COMPOST,ES212,PT,12.9
2020,EN_MWT_TREATV,WT_COMPOST,ES212,PT,17.4
2011,EN_MWT_TREATV,WT_COMPOST,ES212,PT,3.3
2015,EN_MWT_TREATV,WT_COMPOST,ES212,PT,10.0
2013,EN_MWT_TREATV,WT_COMPOST,ES212,PT,5.6
2016,EN_MWT_TREATV,WT_COMPOST,ES212,PT,11.0
2014,EN_MWT_TREATV,WT_COMPOST,ES212,PT,8.3
2010,EN_MWT_TREATV,WT_COMPOST,ES212,PT,3.4
2022,EN_MWT_TREATV,WT_COMPOST,ES212,PT,16.4
2012,EN_MWT_TREATV,WT_COMPOST,ES212,PT,4.0
2021,EN_MWT_TREATV,WT_COMPOST,ES212,PT,16.6
2015,EN_MWT_TREATV,WT_LANDFIL,,PT,32.0
2017,EN_MWT_TREATV,WT_LANDFIL,,PT,31.7
2022,EN_MWT_TREATV,WT_LANDFIL,,PT,17.7
2010,EN_MWT_TREATV,WT_LANDFIL,,PT,49.5
2019,EN_MWT_TREATV,WT_LANDFIL,,PT,27.7
2016,EN_MWT_TREATV,WT_LANDFIL,,PT,33.2
2018,EN_MWT_TREATV,WT_LANDFIL,,PT,31.4
2021,EN_MWT_TREATV,WT_LANDFIL,,PT,20.3
2013,EN_MWT_TREATV,WT_LANDFIL,,PT,40.6
2011,EN_MWT_TREATV,WT_LANDFIL,,PT,48.9
2014,EN_MWT_TREATV,WT_LANDFIL,,PT,37.0
2012,EN_MWT_TREATV,WT_LANDFIL,,PT,47.9
2020,EN_MWT_TREATV,WT_LANDFIL,,PT,18.9
2010,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,76.1
2014,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,52.9
2020,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,51.2
2018,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,45.3
2019,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,50.7
2012,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,76.8
2021,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,52.7
2011,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,76.5
2017,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,43.2
2013,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,70.9
2015,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,43.9
2022,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,48.1
2016,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,38.5
2017,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,19.6
2012,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,28.7
2010,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,33.8
2013,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,26.9
2019,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,17.8
2011,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,31.4
2015,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,19.0
2022,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,16.7
2020,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,16.9
2018,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,20.1
2021,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,20.4
2016,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,22.7
2014,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,23.7
2010,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,64.7
2021,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,7.1
2019,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,37.0
2013,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,52.7
2014,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,52.5
2017,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,48.8
2016,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,47.4
2020,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,9.1
2015,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,47.5
2022,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,7.0
2018,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,44.8
2011,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,66.1
2012,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,71.2
