Year,Series,Units,Value
2014,Proportion of domestic wastewater streams connected to a collection system,PT,100.0
2018,Proportion of domestic wastewater streams connected to a collection system,PT,100.0
2018,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,80.0
2012,Proportion of domestic wastewater streams connected to a collection system,PT,100.0
2020,Proportion of domestic wastewater streams connected to a collection system,PT,100.0
2012,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,74.0
2016,Proportion of domestic wastewater streams connected to a collection system,PT,100.0
2016,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,76.3
2022,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,79.4
2020,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,80.8
2014,Proportion of domestic wastewater streams treated in a controlled manner Adequate,PT,77.5
2022,Proportion of domestic wastewater streams connected to a collection system,PT,99.9
