Year,Territorio histórico,Units,Value
2023,,Porcentaje,22.1
2018,,Porcentaje,15.6
2013,,Porcentaje,23.0
2013,Araba/Álava,Porcentaje,18.9
2018,Araba/Álava,Porcentaje,7.3
2023,Araba/Álava,Porcentaje,14.5
2018,Bizkaia,Porcentaje,12.8
2023,Bizkaia,Porcentaje,24.9
2013,Bizkaia,Porcentaje,20.2
2023,Gipuzkoa,Porcentaje,22.6
2013,Gipuzkoa,Porcentaje,25.7
2018,Gipuzkoa,Porcentaje,19.5
