Year,Series,Isurketa sektorea,Units,Value
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,816233.61
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,275062.34
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,658884.77
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3368056.2
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,496838.12
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3578212.72
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,811932.88
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,5532918.18
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3665899.58
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,703898.51
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,789534.5
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,848247.83
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,4405219.42
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,835271.5
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,18844234.63
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,614685.59
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,789279.23
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,379772.44
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,698180.57
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,427599.54
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,810768.78
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,475709.37
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,433450.18
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,7614356.03
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,16193878.49
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6229281.3
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,477362.54
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,5234732.8
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,766105.23
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6610659.02
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3227390.65
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6244747.83
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,21745903.02
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,7865261.61
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,387872.45
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6091976.38
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,20446954.85
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5699307.41
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,777149.33
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5462200.41
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,881426.86
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5649654.36
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,846985.75
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5394772.62
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,408565.73
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,6037990.74
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,805621.19
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,6499841.73
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,19738340.42
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,6091518.96
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,1055861.33
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,1085275.74
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,16458399.66
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,603362.27
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,934225.94
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,698728.13
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,18813755.08
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3625123.77
2017,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.24
2010,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.29
2019,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.22
2020,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.21
2012,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.28
2011,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.27
2023,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.18
2015,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.26
2014,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.25
2013,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.26
2021,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.21
2022,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.21
