Year,Series,Sexo,Territorio histórico,Units,Value
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,2.0
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.7
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.3
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.4
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.3
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.8
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.5
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.6
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.2
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.8
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.8
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.9
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.8
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,,Por 100.000 habitantes,1.8
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,1.9
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,0.6
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,1.8
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,1.5
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,0.6
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,2.2
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,2.1
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,0.9
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,0.9
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,2.4
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,0.9
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,2.7
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,1.5
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Araba/Álava,Por 100.000 habitantes,1.8
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.4
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.9
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.6
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,2.2
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.8
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,1.6
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,2.1
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,2.0
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Bizkaia,Por 100.000 habitantes,2.3
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.0
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.8
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.7
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,0.6
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.7
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.8
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.0
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.0
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.0
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.7
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.5
