Year,Units,Value
2010,PT,31.9
2011,PT,33.1
2012,PT,33.3
2013,PT,32.7
2014,PT,32.3
2015,PT,32.2
2016,PT,32.6
2017,PT,32.8
2018,PT,32.8
2019,PT,33.5
2020,PT,35.2
2021,PT,32.4
