Year,Sexo,Territorio,Units,Value
2013,,,PT,5.6
2018,,,PT,4.1
2023,,,PT,8.8
2018,,ES211,PT,3.4
2023,,ES211,PT,11.1
2013,,ES211,PT,6.1
2013,,ES213,PT,5.6
2023,,ES213,PT,7.6
2018,,ES213,PT,3.9
2018,,ES212,PT,4.7
2023,,ES212,PT,9.6
2013,,ES212,PT,5.4
2018,F,,PT,4.8
2013,F,,PT,6.5
2023,F,,PT,9.8
2023,F,ES211,PT,14.2
2013,F,ES211,PT,7.1
2018,F,ES211,PT,5.0
2013,F,ES213,PT,6.6
2023,F,ES213,PT,8.6
2018,F,ES213,PT,4.6
2023,F,ES212,PT,9.8
2018,F,ES212,PT,5.1
2013,F,ES212,PT,6.0
2013,M,,PT,4.7
2018,M,,PT,3.3
2023,M,,PT,7.6
2023,M,ES211,PT,7.9
2013,M,ES211,PT,5.1
2018,M,ES211,PT,1.6
2013,M,ES213,PT,4.5
2023,M,ES213,PT,6.4
2018,M,ES213,PT,3.1
2013,M,ES212,PT,4.8
2023,M,ES212,PT,9.4
2018,M,ES212,PT,4.2
