Year,Series,Units,Value
2020,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,98696.0
2019,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,95091.0
2022,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,105878.0
2012,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,70847.0
2021,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,101165.0
2016,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,85839.0
2017,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,91153.0
2011,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,70847.0
2014,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,78025.0
2018,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,92935.0
2015,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,78208.0
2013,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,71709.0
2023,Kudeaketa jasangarrirako tresnak indarrean dituen baso-azalera,Hektareak,107478.0
2021,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,20.7
2018,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,18.9
2023,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,21.96
2013,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,14.58
2012,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,14.41
2016,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,17.45
2019,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,19.34
2015,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,15.9
2011,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,14.28
2022,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,21.6
2020,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,20.07
2017,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,18.54
2014,Kudeaketa jasangarirako tresnak indarrean dituzten baso-azaleren proportzioa,%,15.87
