Year,Series,Sex,Units,Value
2015,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2019,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2012,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2023,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.06
2013,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2020,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.05
2014,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2016,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.07
2022,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.06
2011,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.08
2018,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.08
2024,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.06
2010,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.09
2021,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.05
2017,"Number of new HIV infections per 1,000 population.",,"Per 1,000",0.06
2013,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2016,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2022,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2015,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2017,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2020,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2019,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2024,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2021,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2023,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.02
2010,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.04
2014,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2018,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2012,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.03
2011,"Number of new HIV infections per 1,000 population.",Female,"Per 1,000",0.04
2019,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.11
2014,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.11
2015,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.11
2012,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.13
2010,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.14
2011,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.13
2020,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.08
2023,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.1
2017,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.1
2022,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.09
2013,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.12
2016,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.12
2024,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.1
2021,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.09
2018,"Number of new HIV infections per 1,000 population.",Male,"Per 1,000",0.13
