Year,Series,Units,Value
2010,_L_ES_090401_06,Aurkibidea,-17.19
2011,_L_ES_090401_06,Aurkibidea,-25.9
2012,_L_ES_090401_06,Aurkibidea,-21.64
2013,_L_ES_090401_06,Aurkibidea,-28.59
2014,_L_ES_090401_06,Aurkibidea,-29.31
2015,_L_ES_090401_06,Aurkibidea,-27.84
2016,_L_ES_090401_06,Aurkibidea,-28.02
2017,_L_ES_090401_06,Aurkibidea,-25.72
2018,_L_ES_090401_06,Aurkibidea,-26.89
2019,_L_ES_090401_06,Aurkibidea,-23.06
2020,_L_ES_090401_06,Aurkibidea,-32.28
2021,_L_ES_090401_06,Aurkibidea,-26.48
2022,_L_ES_090401_06,Aurkibidea,-20.65
