Year,Teknologia,Lurralde historikoa,Units,Value
2022,Zuntz optikoko kablea (FTTH),,100 pertsonako,30.2
2018,Zuntz optikoko kablea (FTTH),,100 pertsonako,16.8
2024,Zuntz optikoko kablea (FTTH),,100 pertsonako,38.9
2020,Zuntz optikoko kablea (FTTH),,100 pertsonako,22.5
2019,Zuntz optikoko kablea (FTTH),,100 pertsonako,19.9
2015,Zuntz optikoko kablea (FTTH),,100 pertsonako,4.1
2024,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,39.8
2023,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,36.7
2010,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,0.3
2021,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,29.9
2019,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,22.4
2014,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,2.3
2017,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,16.1
2016,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,11.5
2015,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,5.3
2013,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,0.9
2018,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,19.4
2020,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,26.4
2022,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,33.0
2012,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,0.5
2011,Zuntz optikoko kablea (FTTH),Araba / Álava,100 pertsonako,0.4
2019,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,19.2
2020,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,21.4
2021,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,25.5
2023,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,34.6
2022,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,29.6
2017,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,11.3
2024,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,39.0
2012,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,0.1
2014,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,1.7
2018,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,16.1
2016,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,8.8
2013,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,0.3
2011,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,0.1
2010,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,0.0
2015,Zuntz optikoko kablea (FTTH),Bizkaia,100 pertsonako,3.7
2024,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,38.4
2023,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,34.8
