Year,Type of skill,Sex,Units,Value
2023,Functional numeracy,,%,81.0
2012,Functional numeracy,,%,69.2
2012,Functional numeracy,Female,%,67.0
2023,Functional numeracy,Female,%,78.7
2012,Functional numeracy,Male,%,71.5
2023,Functional numeracy,Male,%,83.4
2023,Functional literacy,,%,77.6
2012,Functional literacy,,%,68.1
2012,Functional literacy,Female,%,68.2
2023,Functional literacy,Female,%,80.1
2023,Functional literacy,Male,%,74.9
2012,Functional literacy,Male,%,67.9
