Year,Series,Lurralde historikoa,Units,Value
2018,Elikagaien ekoizle txikien produktibitatea,,Euroak,12030.9
2020,Elikagaien ekoizle txikien produktibitatea,,Euroak,9818.3
2019,Elikagaien ekoizle txikien produktibitatea,,Euroak,10646.1
2016,Elikagaien ekoizle txikien produktibitatea,,Euroak,10978.5
2015,Elikagaien ekoizle txikien produktibitatea,,Euroak,10150.0
2017,Elikagaien ekoizle txikien produktibitatea,,Euroak,12294.5
2021,Elikagaien ekoizle txikien produktibitatea,,Euroak,10509.0
2016,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,4537.4
2021,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,5528.7
2017,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,5057.9
2019,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,6400.4
2020,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,5071.3
2018,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,5442.0
2015,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Euroak,4172.9
2018,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,10550.5
2015,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,10831.9
2017,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,11225.2
2019,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,9738.4
2016,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,10140.6
2021,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,9670.7
2020,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Euroak,9413.9
2015,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,11666.0
2021,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,12048.2
2018,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,13733.6
2020,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,11080.9
2017,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,13878.5
2019,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,11900.8
2016,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Euroak,12569.2
2018,Elikagaien ekoizle handien produktibitatea,,Euroak,44914.3
2015,Elikagaien ekoizle handien produktibitatea,,Euroak,43924.4
2019,Elikagaien ekoizle handien produktibitatea,,Euroak,46168.5
2020,Elikagaien ekoizle handien produktibitatea,,Euroak,45942.5
2021,Elikagaien ekoizle handien produktibitatea,,Euroak,50293.1
2017,Elikagaien ekoizle handien produktibitatea,,Euroak,42600.2
2016,Elikagaien ekoizle handien produktibitatea,,Euroak,43308.1
2016,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,36918.9
2015,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,39222.8
2020,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,40460.4
2018,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,36631.3
2017,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,33711.7
2019,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,37348.9
2021,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Euroak,41426.0
2021,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,52025.6
2020,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,50356.7
2018,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,49326.0
2015,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,43917.9
2017,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,44660.2
2016,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,43852.2
2019,Elikagaien ekoizle handien produktibitatea,Bizkaia,Euroak,52252.4
2021,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,54538.2
2015,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,46579.9
2019,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,49106.7
2018,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,48274.0
2017,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,47269.8
2016,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,46975.4
2020,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Euroak,47324.6
