Year,Series,Units,Value
2010,Emisiones de CO2 respecto al año 2005,Índice,-17.19
2011,Emisiones de CO2 respecto al año 2005,Índice,-25.9
2012,Emisiones de CO2 respecto al año 2005,Índice,-21.64
2013,Emisiones de CO2 respecto al año 2005,Índice,-28.59
2014,Emisiones de CO2 respecto al año 2005,Índice,-29.31
2015,Emisiones de CO2 respecto al año 2005,Índice,-27.84
2016,Emisiones de CO2 respecto al año 2005,Índice,-28.02
2017,Emisiones de CO2 respecto al año 2005,Índice,-25.72
2018,Emisiones de CO2 respecto al año 2005,Índice,-26.89
2019,Emisiones de CO2 respecto al año 2005,Índice,-23.06
2020,Emisiones de CO2 respecto al año 2005,Índice,-32.28
2021,Emisiones de CO2 respecto al año 2005,Índice,-26.48
2022,Emisiones de CO2 respecto al año 2005,Índice,-20.65
