Year,Lurralde historikoa,Units,Value
2022,,100.000 biztanleko,52.2
2012,,100.000 biztanleko,98.2
2021,,100.000 biztanleko,56.5
2016,,100.000 biztanleko,78.5
2017,,100.000 biztanleko,73.8
2013,,100.000 biztanleko,89.4
2014,,100.000 biztanleko,83.7
2011,,100.000 biztanleko,101.0
2023,,100.000 biztanleko,51.0
2020,,100.000 biztanleko,62.1
2010,,100.000 biztanleko,103.5
2018,,100.000 biztanleko,71.4
2019,,100.000 biztanleko,68.0
2024,,100.000 biztanleko,50.2
2015,,100.000 biztanleko,82.2
2013,Araba / Álava,100.000 biztanleko,102.4
2010,Araba / Álava,100.000 biztanleko,122.5
2017,Araba / Álava,100.000 biztanleko,76.0
2014,Araba / Álava,100.000 biztanleko,93.9
2018,Araba / Álava,100.000 biztanleko,72.6
2020,Araba / Álava,100.000 biztanleko,63.2
2021,Araba / Álava,100.000 biztanleko,58.8
2011,Araba / Álava,100.000 biztanleko,118.0
2024,Araba / Álava,100.000 biztanleko,52.2
2015,Araba / Álava,100.000 biztanleko,91.6
2022,Araba / Álava,100.000 biztanleko,54.4
2023,Araba / Álava,100.000 biztanleko,53.2
2019,Araba / Álava,100.000 biztanleko,68.9
2012,Araba / Álava,100.000 biztanleko,113.8
2016,Araba / Álava,100.000 biztanleko,83.7
2011,Bizkaia,100.000 biztanleko,98.8
2013,Bizkaia,100.000 biztanleko,85.6
2014,Bizkaia,100.000 biztanleko,79.4
2015,Bizkaia,100.000 biztanleko,78.3
2017,Bizkaia,100.000 biztanleko,71.0
2018,Bizkaia,100.000 biztanleko,69.0
2019,Bizkaia,100.000 biztanleko,66.0
2021,Bizkaia,100.000 biztanleko,54.1
2022,Bizkaia,100.000 biztanleko,50.4
2023,Bizkaia,100.000 biztanleko,49.2
2024,Bizkaia,100.000 biztanleko,48.2
2010,Bizkaia,100.000 biztanleko,101.2
2020,Bizkaia,100.000 biztanleko,59.5
2016,Bizkaia,100.000 biztanleko,75.4
2012,Bizkaia,100.000 biztanleko,95.8
2024,Gipuzkoa,100.000 biztanleko,52.4
2010,Gipuzkoa,100.000 biztanleko,98.7
2011,Gipuzkoa,100.000 biztanleko,97.0
2012,Gipuzkoa,100.000 biztanleko,94.8
2013,Gipuzkoa,100.000 biztanleko,89.7
2014,Gipuzkoa,100.000 biztanleko,86.1
2015,Gipuzkoa,100.000 biztanleko,84.4
2016,Gipuzkoa,100.000 biztanleko,81.3
2017,Gipuzkoa,100.000 biztanleko,77.5
2018,Gipuzkoa,100.000 biztanleko,74.7
2019,Gipuzkoa,100.000 biztanleko,70.8
2020,Gipuzkoa,100.000 biztanleko,65.8
2021,Gipuzkoa,100.000 biztanleko,59.4
2022,Gipuzkoa,100.000 biztanleko,54.3
2023,Gipuzkoa,100.000 biztanleko,52.8
