Year,Ocupacion,Territorio,Units,Value
2020,CNO2011_11_12_13,ES213,PT,32.8
2019,CNO2011_11_12_13,ES213,PT,34.5
2013,CNO2011_11_12_13,ES213,PT,30.9
2018,CNO2011_11_12_13,ES213,PT,27.8
2017,CNO2011_11_12_13,ES213,PT,29.3
2015,CNO2011_11_12_13,ES213,PT,32.3
2012,CNO2011_11_12_13,ES213,PT,27.8
2010,CNO2011_11_12_13,ES213,PT,34.9
2014,CNO2011_11_12_13,ES213,PT,25.2
2022,CNO2011_11_12_13,ES213,PT,31.1
2011,CNO2011_11_12_13,ES213,PT,29.3
2016,CNO2011_11_12_13,ES213,PT,29.9
2024,CNO2011_11_12_13,ES212,PT,29.4
2022,CNO2011_11_12_13,ES212,PT,24.9
2017,CNO2011_11_12_13,ES212,PT,33.7
2018,CNO2011_11_12_13,ES212,PT,33.8
2019,CNO2011_11_12_13,ES212,PT,29.6
2015,CNO2011_11_12_13,ES212,PT,26.1
2014,CNO2011_11_12_13,ES212,PT,32.4
2011,CNO2011_11_12_13,ES212,PT,25.4
2012,CNO2011_11_12_13,ES212,PT,27.0
2010,CNO2011_11_12_13,ES212,PT,28.4
2013,CNO2011_11_12_13,ES212,PT,33.8
2016,CNO2011_11_12_13,ES212,PT,33.2
2020,CNO2011_11_12_13,ES212,PT,26.9
2021,CNO2011_11_12_13,ES212,PT,29.1
2023,CNO2011_11_12_13,ES212,PT,26.2
2011,SELF_EMP,,PT,34.5
2019,SELF_EMP,,PT,35.1
2020,SELF_EMP,,PT,34.4
2014,SELF_EMP,,PT,35.2
2024,SELF_EMP,,PT,37.2
2021,SELF_EMP,,PT,33.5
2017,SELF_EMP,,PT,34.5
2015,SELF_EMP,,PT,33.7
2023,SELF_EMP,,PT,35.1
2016,SELF_EMP,,PT,34.7
2012,SELF_EMP,,PT,36.0
2022,SELF_EMP,,PT,33.1
2010,SELF_EMP,,PT,32.6
2018,SELF_EMP,,PT,35.4
2013,SELF_EMP,,PT,34.7
2020,SELF_EMP,ES211,PT,30.9
2019,SELF_EMP,ES211,PT,34.6
2018,SELF_EMP,ES211,PT,36.0
2011,SELF_EMP,ES211,PT,31.8
2015,SELF_EMP,ES211,PT,36.7
2013,SELF_EMP,ES211,PT,31.8
2017,SELF_EMP,ES211,PT,32.8
2024,SELF_EMP,ES211,PT,27.3
2022,SELF_EMP,ES211,PT,30.7
2016,SELF_EMP,ES211,PT,34.9
