Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2011,,EU_SIT_JUB,M,ES211,PER_10000_POP,7.2
2012,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.3
2017,,,M,ES211,PER_10000_POP,81.8
2019,,EU_SIT_JUB,M,ES211,PER_10000_POP,15.3
2010,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,67.7
2022,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,66.9
2021,,EU_SIT_JUB,M,ES211,PER_10000_POP,17.1
2019,,,M,ES211,PER_10000_POP,83.9
2013,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,67.9
2013,,,M,ES211,PER_10000_POP,77.0
2013,,EU_SIT_JUB,M,ES211,PER_10000_POP,9.0
2014,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.9
2020,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.8
2018,,,M,ES211,PER_10000_POP,82.6
2020,,,M,ES211,PER_10000_POP,85.1
2023,,EU_SIT_JUB,M,ES211,PER_10000_POP,19.4
2019,,EU_SIT_NOJUB,M,ES211,PER_10000_POP,68.6
2022,,EU_SIT_JUB,M,ES211,PER_10000_POP,18.7
2024,,,M,ES211,PER_10000_POP,86.5
2012,,EU_SIT_JUB,M,ES213,PER_10000_POP,10.1
2016,,,M,ES213,PER_10000_POP,94.2
2024,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.4
2021,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.9
2022,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,84.2
2014,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,81.5
2015,,EU_SIT_JUB,M,ES213,PER_10000_POP,10.9
2015,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,81.7
2025,,EU_SIT_JUB,M,ES213,PER_10000_POP,24.6
2018,,EU_SIT_JUB,M,ES213,PER_10000_POP,14.0
2025,,,M,ES213,PER_10000_POP,108.2
2016,,EU_SIT_JUB,M,ES213,PER_10000_POP,11.7
2020,,,M,ES213,PER_10000_POP,101.6
2014,,,M,ES213,PER_10000_POP,92.2
2019,,,M,ES213,PER_10000_POP,98.5
2017,,EU_SIT_JUB,M,ES213,PER_10000_POP,12.9
2012,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,79.3
2013,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,80.7
2017,,,M,ES213,PER_10000_POP,95.2
2019,,EU_SIT_JUB,M,ES213,PER_10000_POP,16.3
2022,,EU_SIT_JUB,M,ES213,PER_10000_POP,19.5
2011,,EU_SIT_JUB,M,ES213,PER_10000_POP,9.3
2016,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,82.3
2018,,,M,ES213,PER_10000_POP,97.1
2021,,,M,ES213,PER_10000_POP,102.9
2010,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,80.3
2014,,EU_SIT_JUB,M,ES213,PER_10000_POP,10.5
2012,,,M,ES213,PER_10000_POP,89.5
2021,,EU_SIT_JUB,M,ES213,PER_10000_POP,19.0
2010,,EU_SIT_JUB,M,ES213,PER_10000_POP,8.8
2022,,,M,ES213,PER_10000_POP,103.7
2023,,,M,ES213,PER_10000_POP,105.7
2024,,EU_SIT_JUB,M,ES213,PER_10000_POP,23.2
2011,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,72.6
2013,,EU_SIT_JUB,M,ES213,PER_10000_POP,10.0
2020,,EU_SIT_JUB,M,ES213,PER_10000_POP,17.7
2015,,,M,ES213,PER_10000_POP,92.9
2025,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.6
2013,,,M,ES213,PER_10000_POP,90.9
2018,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.0
2024,,,M,ES213,PER_10000_POP,106.6
2010,,,M,ES213,PER_10000_POP,89.3
2017,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,82.1
2020,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.8
2011,,,M,ES213,PER_10000_POP,90.5
2023,,EU_SIT_JUB,M,ES213,PER_10000_POP,21.9
2019,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,82.1
2023,,EU_SIT_NOJUB,M,ES213,PER_10000_POP,83.8
2022,,EU_SIT_JUB,M,ES212,PER_10000_POP,18.4
2013,,EU_SIT_JUB,M,ES212,PER_10000_POP,9.4
2021,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,62.9
2025,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,61.1
2011,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,64.5
2017,,,M,ES212,PER_10000_POP,76.1
2013,,,M,ES212,PER_10000_POP,75.1
2012,,EU_SIT_JUB,M,ES212,PER_10000_POP,9.0
2011,,EU_SIT_JUB,M,ES212,PER_10000_POP,6.8
2018,,EU_SIT_JUB,M,ES212,PER_10000_POP,13.3
2015,,,M,ES212,PER_10000_POP,75.8
2018,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,63.4
2017,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,63.5
2010,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,67.4
2014,,,M,ES212,PER_10000_POP,75.5
2018,,,M,ES212,PER_10000_POP,76.7
2019,,,M,ES212,PER_10000_POP,78.5
2020,,,M,ES212,PER_10000_POP,79.6
2023,,,M,ES212,PER_10000_POP,87.1
2025,,EU_SIT_JUB,M,ES212,PER_10000_POP,24.9
2019,,EU_SIT_JUB,M,ES212,PER_10000_POP,14.9
2017,,EU_SIT_JUB,M,ES212,PER_10000_POP,12.6
2021,,,M,ES212,PER_10000_POP,80.3
2012,,,M,ES212,PER_10000_POP,78.3
2014,,EU_SIT_JUB,M,ES212,PER_10000_POP,10.0
2011,,,M,ES212,PER_10000_POP,79.5
2022,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,63.3
2020,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,63.4
2014,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,65.4
2019,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,63.6
2023,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,61.9
2015,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,64.3
2012,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,69.4
2024,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,61.2
2025,,,M,ES212,PER_10000_POP,86.0
2013,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,65.7
2024,,,M,ES212,PER_10000_POP,84.6
2010,,EU_SIT_JUB,M,ES212,PER_10000_POP,6.8
2016,,,M,ES212,PER_10000_POP,76.5
2015,,EU_SIT_JUB,M,ES212,PER_10000_POP,11.5
2023,,EU_SIT_JUB,M,ES212,PER_10000_POP,25.3
2016,,EU_SIT_NOJUB,M,ES212,PER_10000_POP,64.6
2020,,EU_SIT_JUB,M,ES212,PER_10000_POP,16.2
2022,,,M,ES212,PER_10000_POP,81.7
2021,,EU_SIT_JUB,M,ES212,PER_10000_POP,17.4
2024,,EU_SIT_JUB,M,ES212,PER_10000_POP,23.4
2016,,EU_SIT_JUB,M,ES212,PER_10000_POP,11.9
2010,,,M,ES212,PER_10000_POP,74.2
2023,ISCO08_221,,,,PER_10000_POP,71.8
2020,ISCO08_221,,,,PER_10000_POP,67.1
2012,ISCO08_221,,,,PER_10000_POP,57.1
2016,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,53.9
2019,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,54.8
2017,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,7.9
2017,ISCO08_221,,,,PER_10000_POP,62.1
2023,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,57.1
2013,ISCO08_221,,,,PER_10000_POP,58.2
2016,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,7.1
2025,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,58.3
2025,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,17.0
2019,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,10.3
2014,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,53.6
2013,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,53.1
2020,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,11.3
2017,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,54.1
2021,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,56.5
2015,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,53.7
2014,ISCO08_221,,,,PER_10000_POP,59.3
2022,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,13.1
2015,ISCO08_221,,,,PER_10000_POP,60.0
2010,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,50.2
2016,ISCO08_221,,,,PER_10000_POP,61.0
2014,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,5.7
2015,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,6.3
2022,ISCO08_221,,,,PER_10000_POP,70.3
2011,ISCO08_221,,,,PER_10000_POP,55.6
2024,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,57.6
2018,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,54.6
2021,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,12.4
2023,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,14.7
2011,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,51.2
2013,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,5.2
2012,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,5.0
2024,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,15.7
2018,ISCO08_221,,,,PER_10000_POP,63.4
2019,ISCO08_221,,,,PER_10000_POP,65.0
2010,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,4.1
2022,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,57.1
2025,ISCO08_221,,,,PER_10000_POP,75.4
2018,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,8.8
2020,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,55.8
2021,ISCO08_221,,,,PER_10000_POP,68.9
2010,ISCO08_221,,,,PER_10000_POP,54.3
2024,ISCO08_221,,,,PER_10000_POP,73.2
2011,ISCO08_221,EU_SIT_JUB,,,PER_10000_POP,4.3
2012,ISCO08_221,EU_SIT_NOJUB,,,PER_10000_POP,52.1
2014,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,5.3
2017,ISCO08_221,,,ES211,PER_10000_POP,59.1
2015,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,6.3
2023,ISCO08_221,,,ES211,PER_10000_POP,64.7
2010,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,3.7
2010,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,47.9
2022,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,13.0
2011,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,49.8
2024,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,14.2
2013,ISCO08_221,,,ES211,PER_10000_POP,56.5
2024,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.9
2022,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.5
2017,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,8.4
2014,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,52.3
2013,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,4.7
2015,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.7
2020,ISCO08_221,,,ES211,PER_10000_POP,61.3
2018,ISCO08_221,,,ES211,PER_10000_POP,59.2
2012,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.3
2025,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,52.6
2016,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.1
2018,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,9.1
2019,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.1
2019,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,10.2
2010,ISCO08_221,,,ES211,PER_10000_POP,51.6
2012,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,4.0
2014,ISCO08_221,,,ES211,PER_10000_POP,57.6
2025,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,15.9
2017,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.6
2015,ISCO08_221,,,ES211,PER_10000_POP,57.9
2011,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,3.7
2016,ISCO08_221,,,ES211,PER_10000_POP,58.6
2021,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.1
2019,ISCO08_221,,,ES211,PER_10000_POP,60.3
2024,ISCO08_221,,,ES211,PER_10000_POP,66.1
2020,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.4
2013,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,51.8
2016,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,7.5
2011,ISCO08_221,,,ES211,PER_10000_POP,53.4
2022,ISCO08_221,,,ES211,PER_10000_POP,63.5
2023,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.8
2021,ISCO08_221,,,ES211,PER_10000_POP,62.6
2012,ISCO08_221,,,ES211,PER_10000_POP,55.4
2020,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,10.9
2025,ISCO08_221,,,ES211,PER_10000_POP,68.5
2023,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,13.8
2018,ISCO08_221,EU_SIT_NOJUB,,ES211,PER_10000_POP,50.2
2021,ISCO08_221,EU_SIT_JUB,,ES211,PER_10000_POP,11.5
2017,ISCO08_221,,,ES213,PER_10000_POP,66.2
2012,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,5.4
2019,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,59.1
2022,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,13.6
2012,ISCO08_221,,,ES213,PER_10000_POP,60.1
2013,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,56.1
2010,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,4.6
2020,ISCO08_221,,,ES213,PER_10000_POP,72.5
2018,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,59.1
2014,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,5.7
2010,ISCO08_221,,,ES213,PER_10000_POP,57.2
2020,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,60.4
2022,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,62.4
2017,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,8.0
2017,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,58.2
2025,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,18.3
2025,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,63.5
2016,ISCO08_221,,,ES213,PER_10000_POP,64.8
2014,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,56.8
2024,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,62.8
2019,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,10.9
2021,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,13.4
2021,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,61.1
2023,ISCO08_221,,,ES213,PER_10000_POP,78.0
2014,ISCO08_221,,,ES213,PER_10000_POP,62.6
2020,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,12.1
2024,ISCO08_221,,,ES213,PER_10000_POP,79.6
2015,ISCO08_221,,,ES213,PER_10000_POP,63.6
2015,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,6.3
2016,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,7.0
2012,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,54.7
2011,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,53.6
2025,ISCO08_221,,,ES213,PER_10000_POP,81.8
2011,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,4.9
2019,ISCO08_221,,,ES213,PER_10000_POP,70.0
2018,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,9.0
2021,ISCO08_221,,,ES213,PER_10000_POP,74.4
2023,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,62.3
2013,ISCO08_221,,,ES213,PER_10000_POP,61.5
2024,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,16.8
2023,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,15.7
2018,ISCO08_221,,,ES213,PER_10000_POP,68.1
2016,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,57.8
2015,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,57.3
2010,ISCO08_221,EU_SIT_NOJUB,,ES213,PER_10000_POP,52.6
2011,ISCO08_221,,,ES213,PER_10000_POP,58.5
2022,ISCO08_221,,,ES213,PER_10000_POP,75.9
2013,ISCO08_221,EU_SIT_JUB,,ES213,PER_10000_POP,5.4
2017,ISCO08_221,,,ES212,PER_10000_POP,56.9
2015,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,6.5
2025,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,15.6
2021,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,11.3
2017,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,7.6
2013,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,5.0
2023,ISCO08_221,,,ES212,PER_10000_POP,65.2
2015,ISCO08_221,,,ES212,PER_10000_POP,55.3
2011,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,3.7
2011,ISCO08_221,,,ES212,PER_10000_POP,51.8
2025,ISCO08_221,,,ES212,PER_10000_POP,68.3
2020,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,51.0
2024,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,51.9
2018,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,49.5
2021,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,51.7
2023,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,51.7
2016,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,49.0
2013,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,48.8
2010,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,47.3
2014,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,49.1
2020,ISCO08_221,,,ES212,PER_10000_POP,61.2
2022,ISCO08_221,,,ES212,PER_10000_POP,64.4
2016,ISCO08_221,,,ES212,PER_10000_POP,55.9
2014,ISCO08_221,,,ES212,PER_10000_POP,54.8
2014,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,5.7
2013,ISCO08_221,,,ES212,PER_10000_POP,53.8
2018,ISCO08_221,,,ES212,PER_10000_POP,57.9
2012,ISCO08_221,,,ES212,PER_10000_POP,52.9
2022,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,12.5
2024,ISCO08_221,,,ES212,PER_10000_POP,66.3
2010,ISCO08_221,,,ES212,PER_10000_POP,50.9
2012,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,4.7
2012,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,48.2
2019,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,49.9
2020,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,10.3
2016,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,6.9
2010,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,3.5
2025,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,52.7
2023,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,13.5
2015,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,48.9
2011,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,47.9
2017,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,49.3
2021,ISCO08_221,,,ES212,PER_10000_POP,63.0
2024,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,14.4
2019,ISCO08_221,,,ES212,PER_10000_POP,59.3
2018,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,8.3
2022,ISCO08_221,EU_SIT_NOJUB,,ES212,PER_10000_POP,51.8
2019,ISCO08_221,EU_SIT_JUB,,ES212,PER_10000_POP,9.4
2012,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,1.8
2023,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,70.1
2019,ISCO08_221,,F,,PER_10000_POP,69.4
2012,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,55.0
2011,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,1.4
2015,ISCO08_221,,F,,PER_10000_POP,61.6
2025,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,12.8
2023,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,10.2
2013,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,56.8
2013,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,1.8
2022,ISCO08_221,,F,,PER_10000_POP,77.7
2011,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,52.9
2015,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,2.7
2020,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,7.0
2016,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,3.4
2023,ISCO08_221,,F,,PER_10000_POP,80.3
2010,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,1.1
2022,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,8.8
2014,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,57.9
2018,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,61.9
2017,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,60.7
2020,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,65.5
2015,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,58.9
2011,ISCO08_221,,F,,PER_10000_POP,54.3
2021,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,67.3
2024,ISCO08_221,,F,,PER_10000_POP,82.8
2017,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,4.2
2024,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,11.2
2010,ISCO08_221,,F,,PER_10000_POP,52.3
2010,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,51.2
2018,ISCO08_221,,F,,PER_10000_POP,66.9
2024,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,71.6
2014,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,2.2
2020,ISCO08_221,,F,,PER_10000_POP,72.5
2021,ISCO08_221,,F,,PER_10000_POP,75.4
2019,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,63.2
2021,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,8.1
2012,ISCO08_221,,F,,PER_10000_POP,56.8
2017,ISCO08_221,,F,,PER_10000_POP,64.9
2019,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,6.3
2013,ISCO08_221,,F,,PER_10000_POP,58.6
2014,ISCO08_221,,F,,PER_10000_POP,60.1
2016,ISCO08_221,,F,,PER_10000_POP,63.1
2025,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,73.4
2016,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,59.7
2022,ISCO08_221,EU_SIT_NOJUB,F,,PER_10000_POP,68.9
2025,ISCO08_221,,F,,PER_10000_POP,86.1
2018,ISCO08_221,EU_SIT_JUB,F,,PER_10000_POP,4.9
2025,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,68.5
2021,ISCO08_221,,F,ES211,PER_10000_POP,70.3
2018,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,59.7
2016,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,60.1
2011,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,54.0
2018,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,4.4
2017,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,3.9
2017,ISCO08_221,,F,ES211,PER_10000_POP,63.4
2012,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,56.9
2014,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,1.4
2025,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,12.3
2010,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,51.8
2016,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,3.2
2015,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,59.7
2021,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,63.6
2016,ISCO08_221,,F,ES211,PER_10000_POP,63.3
2020,ISCO08_221,,F,ES211,PER_10000_POP,67.6
2023,ISCO08_221,,F,ES211,PER_10000_POP,74.2
2022,ISCO08_221,,F,ES211,PER_10000_POP,72.0
2012,ISCO08_221,,F,ES211,PER_10000_POP,57.5
2019,ISCO08_221,,F,ES211,PER_10000_POP,65.8
2011,ISCO08_221,,F,ES211,PER_10000_POP,54.7
2010,ISCO08_221,,F,ES211,PER_10000_POP,52.4
2018,ISCO08_221,,F,ES211,PER_10000_POP,64.0
2013,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,0.7
2022,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,8.0
2019,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,5.8
2023,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,65.2
2010,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,0.6
2024,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,9.9
2015,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,2.1
2023,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,9.0
2024,ISCO08_221,,F,ES211,PER_10000_POP,77.3
2012,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,0.6
2020,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,61.3
2013,ISCO08_221,,F,ES211,PER_10000_POP,59.5
2011,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,0.6
2013,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,58.8
2021,ISCO08_221,EU_SIT_JUB,F,ES211,PER_10000_POP,6.7
2022,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,64.0
2017,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,59.6
2019,ISCO08_221,EU_SIT_NOJUB,F,ES211,PER_10000_POP,60.0
