Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2018,,,,ES213,PER_10000_POP,168.2
2011,,EU_SIT_NOJUB,,ES213,PER_10000_POP,134.2
2018,,EU_SIT_JUB,,ES213,PER_10000_POP,9.9
2025,,EU_SIT_NOJUB,,ES213,PER_10000_POP,171.9
2022,,EU_SIT_JUB,,ES213,PER_10000_POP,14.6
2014,,EU_SIT_JUB,,ES213,PER_10000_POP,6.6
2013,,EU_SIT_JUB,,ES213,PER_10000_POP,6.3
2020,,EU_SIT_JUB,,ES213,PER_10000_POP,13.1
2025,,EU_SIT_JUB,,ES213,PER_10000_POP,19.5
2021,,EU_SIT_NOJUB,,ES213,PER_10000_POP,164.3
2021,,EU_SIT_JUB,,ES213,PER_10000_POP,14.4
2015,,EU_SIT_JUB,,ES213,PER_10000_POP,7.1
2014,,EU_SIT_NOJUB,,ES213,PER_10000_POP,148.9
2015,,EU_SIT_NOJUB,,ES213,PER_10000_POP,151.8
2011,,EU_SIT_JUB,,ES213,PER_10000_POP,5.8
2014,,,,ES213,PER_10000_POP,156.0
2020,,,,ES213,PER_10000_POP,176.0
2013,,EU_SIT_NOJUB,,ES213,PER_10000_POP,146.5
2012,,,,ES213,PER_10000_POP,150.9
2023,,EU_SIT_JUB,,ES213,PER_10000_POP,16.8
2021,,,,ES213,PER_10000_POP,179.2
2024,,EU_SIT_NOJUB,,ES213,PER_10000_POP,169.1
2019,,,,ES213,PER_10000_POP,170.8
2010,,,,ES213,PER_10000_POP,144.3
2017,,,,ES213,PER_10000_POP,165.0
2019,,EU_SIT_NOJUB,,ES213,PER_10000_POP,158.6
2012,,EU_SIT_JUB,,ES213,PER_10000_POP,6.3
2016,,EU_SIT_NOJUB,,ES213,PER_10000_POP,154.0
2023,,,,ES213,PER_10000_POP,184.4
2018,,EU_SIT_NOJUB,,ES213,PER_10000_POP,157.9
2016,,EU_SIT_JUB,,ES213,PER_10000_POP,7.9
2011,,,,ES213,PER_10000_POP,148.2
2012,,EU_SIT_NOJUB,,ES213,PER_10000_POP,144.2
2015,,,,ES213,PER_10000_POP,159.4
2019,,EU_SIT_JUB,,ES213,PER_10000_POP,11.8
2010,,EU_SIT_NOJUB,,ES212,PER_10000_POP,135.6
2023,,,,ES212,PER_10000_POP,194.7
2013,,EU_SIT_NOJUB,,ES212,PER_10000_POP,139.4
2019,,EU_SIT_JUB,,ES212,PER_10000_POP,11.7
2023,,EU_SIT_JUB,,ES212,PER_10000_POP,42.3
2012,,,,ES212,PER_10000_POP,144.3
2025,,EU_SIT_JUB,,ES212,PER_10000_POP,41.1
2015,,EU_SIT_NOJUB,,ES212,PER_10000_POP,142.2
2018,,,,ES212,PER_10000_POP,154.3
2010,,EU_SIT_JUB,,ES212,PER_10000_POP,4.4
2022,,EU_SIT_JUB,,ES212,PER_10000_POP,15.6
2018,,EU_SIT_NOJUB,,ES212,PER_10000_POP,144.0
2017,,,,ES212,PER_10000_POP,152.9
2014,,EU_SIT_NOJUB,,ES212,PER_10000_POP,141.5
2014,,EU_SIT_JUB,,ES212,PER_10000_POP,7.0
