Year,Units,Value
2010,Porcentaje,15.6
2011,Porcentaje,15.0
2012,Porcentaje,13.9
2013,Porcentaje,15.3
2014,Porcentaje,16.0
2015,Porcentaje,14.5
2016,Porcentaje,15.7
2017,Porcentaje,14.4
2018,Porcentaje,17.8
2019,Porcentaje,17.8
2020,Porcentaje,19.8
2021,Porcentaje,20.2
2022,Porcentaje,18.2
2023,Porcentaje,20.4
