Year,Series,Sexo,Territorio,Units,Value
2017,SH_STA_SCIDE,,,PER_100000_POP,8.3
2013,SH_STA_SCIDE,,,PER_100000_POP,8.2
2010,SH_STA_SCIDE,,,PER_100000_POP,6.0
2018,SH_STA_SCIDE,,,PER_100000_POP,7.5
2011,SH_STA_SCIDE,,,PER_100000_POP,7.9
2020,SH_STA_SCIDE,,,PER_100000_POP,8.4
2019,SH_STA_SCIDE,,,PER_100000_POP,6.6
2015,SH_STA_SCIDE,,,PER_100000_POP,7.7
2012,SH_STA_SCIDE,,,PER_100000_POP,8.3
2023,SH_STA_SCIDE,,,PER_100000_POP,6.4
2021,SH_STA_SCIDE,,,PER_100000_POP,6.8
2022,SH_STA_SCIDE,,,PER_100000_POP,7.9
2014,SH_STA_SCIDE,,,PER_100000_POP,8.6
2016,SH_STA_SCIDE,,,PER_100000_POP,8.3
2015,SH_STA_SCIDE,,ES211,PER_100000_POP,6.5
2012,SH_STA_SCIDE,,ES211,PER_100000_POP,6.5
2022,SH_STA_SCIDE,,ES211,PER_100000_POP,9.3
2021,SH_STA_SCIDE,,ES211,PER_100000_POP,8.5
2011,SH_STA_SCIDE,,ES211,PER_100000_POP,6.6
2014,SH_STA_SCIDE,,ES211,PER_100000_POP,6.9
2023,SH_STA_SCIDE,,ES211,PER_100000_POP,7.5
2016,SH_STA_SCIDE,,ES211,PER_100000_POP,7.1
2013,SH_STA_SCIDE,,ES211,PER_100000_POP,8.1
2018,SH_STA_SCIDE,,ES211,PER_100000_POP,7.3
2010,SH_STA_SCIDE,,ES211,PER_100000_POP,8.8
2020,SH_STA_SCIDE,,ES211,PER_100000_POP,8.2
2019,SH_STA_SCIDE,,ES211,PER_100000_POP,6.7
2017,SH_STA_SCIDE,,ES211,PER_100000_POP,6.8
2018,SH_STA_SCIDE,,ES213,PER_100000_POP,7.7
2010,SH_STA_SCIDE,,ES213,PER_100000_POP,5.4
2021,SH_STA_SCIDE,,ES213,PER_100000_POP,6.2
2012,SH_STA_SCIDE,,ES213,PER_100000_POP,8.2
2016,SH_STA_SCIDE,,ES213,PER_100000_POP,7.6
2019,SH_STA_SCIDE,,ES213,PER_100000_POP,6.4
2015,SH_STA_SCIDE,,ES213,PER_100000_POP,8.2
2017,SH_STA_SCIDE,,ES213,PER_100000_POP,8.6
2013,SH_STA_SCIDE,,ES213,PER_100000_POP,7.8
2014,SH_STA_SCIDE,,ES213,PER_100000_POP,9.5
2011,SH_STA_SCIDE,,ES213,PER_100000_POP,7.8
2022,SH_STA_SCIDE,,ES213,PER_100000_POP,8.0
2020,SH_STA_SCIDE,,ES213,PER_100000_POP,8.7
2023,SH_STA_SCIDE,,ES213,PER_100000_POP,5.3
2020,SH_STA_SCIDE,,ES212,PER_100000_POP,7.9
2019,SH_STA_SCIDE,,ES212,PER_100000_POP,7.0
2013,SH_STA_SCIDE,,ES212,PER_100000_POP,8.9
2010,SH_STA_SCIDE,,ES212,PER_100000_POP,5.8
2017,SH_STA_SCIDE,,ES212,PER_100000_POP,8.4
2021,SH_STA_SCIDE,,ES212,PER_100000_POP,6.8
2023,SH_STA_SCIDE,,ES212,PER_100000_POP,7.6
2018,SH_STA_SCIDE,,ES212,PER_100000_POP,7.1
2011,SH_STA_SCIDE,,ES212,PER_100000_POP,8.7
2014,SH_STA_SCIDE,,ES212,PER_100000_POP,7.8
2022,SH_STA_SCIDE,,ES212,PER_100000_POP,7.2
2015,SH_STA_SCIDE,,ES212,PER_100000_POP,7.3
2012,SH_STA_SCIDE,,ES212,PER_100000_POP,9.1
2016,SH_STA_SCIDE,,ES212,PER_100000_POP,9.8
2019,SH_STA_SCIDE,F,,PER_100000_POP,2.6
2015,SH_STA_SCIDE,F,,PER_100000_POP,3.6
2013,SH_STA_SCIDE,F,,PER_100000_POP,4.5
2023,SH_STA_SCIDE,F,,PER_100000_POP,3.2
2020,SH_STA_SCIDE,F,,PER_100000_POP,4.0
2021,SH_STA_SCIDE,F,,PER_100000_POP,3.6
2012,SH_STA_SCIDE,F,,PER_100000_POP,4.2
2016,SH_STA_SCIDE,F,,PER_100000_POP,4.2
2022,SH_STA_SCIDE,F,,PER_100000_POP,4.4
2014,SH_STA_SCIDE,F,,PER_100000_POP,5.6
2017,SH_STA_SCIDE,F,,PER_100000_POP,4.1
2018,SH_STA_SCIDE,F,,PER_100000_POP,4.3
2011,SH_STA_SCIDE,F,,PER_100000_POP,4.4
2010,SH_STA_SCIDE,F,,PER_100000_POP,2.3
2022,SH_STA_SCIDE,F,ES211,PER_100000_POP,4.7
2015,SH_STA_SCIDE,F,ES211,PER_100000_POP,4.3
2019,SH_STA_SCIDE,F,ES211,PER_100000_POP,1.2
2018,SH_STA_SCIDE,F,ES211,PER_100000_POP,4.2
2017,SH_STA_SCIDE,F,ES211,PER_100000_POP,5.5
2023,SH_STA_SCIDE,F,ES211,PER_100000_POP,4.1
2020,SH_STA_SCIDE,F,ES211,PER_100000_POP,4.2
2011,SH_STA_SCIDE,F,ES211,PER_100000_POP,3.7
2013,SH_STA_SCIDE,F,ES211,PER_100000_POP,5.0
2016,SH_STA_SCIDE,F,ES211,PER_100000_POP,2.4
2021,SH_STA_SCIDE,F,ES211,PER_100000_POP,5.4
2012,SH_STA_SCIDE,F,ES211,PER_100000_POP,2.5
2010,SH_STA_SCIDE,F,ES211,PER_100000_POP,2.5
2014,SH_STA_SCIDE,F,ES211,PER_100000_POP,3.7
2010,SH_STA_SCIDE,F,ES213,PER_100000_POP,2.5
2017,SH_STA_SCIDE,F,ES213,PER_100000_POP,4.1
2022,SH_STA_SCIDE,F,ES213,PER_100000_POP,4.4
2014,SH_STA_SCIDE,F,ES213,PER_100000_POP,6.4
2020,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.7
2016,SH_STA_SCIDE,F,ES213,PER_100000_POP,4.2
2018,SH_STA_SCIDE,F,ES213,PER_100000_POP,4.1
2012,SH_STA_SCIDE,F,ES213,PER_100000_POP,5.4
2015,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.6
2011,SH_STA_SCIDE,F,ES213,PER_100000_POP,4.5
2019,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.0
2021,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.9
2023,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.4
2013,SH_STA_SCIDE,F,ES213,PER_100000_POP,3.9
2011,SH_STA_SCIDE,F,ES212,PER_100000_POP,4.5
2019,SH_STA_SCIDE,F,ES212,PER_100000_POP,2.4
2020,SH_STA_SCIDE,F,ES212,PER_100000_POP,4.3
2018,SH_STA_SCIDE,F,ES212,PER_100000_POP,4.6
2016,SH_STA_SCIDE,F,ES212,PER_100000_POP,5.0
2022,SH_STA_SCIDE,F,ES212,PER_100000_POP,4.4
2023,SH_STA_SCIDE,F,ES212,PER_100000_POP,2.4
2017,SH_STA_SCIDE,F,ES212,PER_100000_POP,3.6
2014,SH_STA_SCIDE,F,ES212,PER_100000_POP,5.3
2012,SH_STA_SCIDE,F,ES212,PER_100000_POP,3.1
2013,SH_STA_SCIDE,F,ES212,PER_100000_POP,5.3
2010,SH_STA_SCIDE,F,ES212,PER_100000_POP,1.7
2021,SH_STA_SCIDE,F,ES212,PER_100000_POP,2.5
2015,SH_STA_SCIDE,F,ES212,PER_100000_POP,3.3
2018,SH_STA_SCIDE,M,,PER_100000_POP,10.9
2012,SH_STA_SCIDE,M,,PER_100000_POP,12.5
2021,SH_STA_SCIDE,M,,PER_100000_POP,10.1
2014,SH_STA_SCIDE,M,,PER_100000_POP,11.6
2022,SH_STA_SCIDE,M,,PER_100000_POP,11.7
2010,SH_STA_SCIDE,M,,PER_100000_POP,10.0
2015,SH_STA_SCIDE,M,,PER_100000_POP,12.0
2023,SH_STA_SCIDE,M,,PER_100000_POP,9.8
2013,SH_STA_SCIDE,M,,PER_100000_POP,12.1
2011,SH_STA_SCIDE,M,,PER_100000_POP,11.6
2020,SH_STA_SCIDE,M,,PER_100000_POP,13.0
2019,SH_STA_SCIDE,M,,PER_100000_POP,10.9
2017,SH_STA_SCIDE,M,,PER_100000_POP,12.7
2016,SH_STA_SCIDE,M,,PER_100000_POP,12.6
2023,SH_STA_SCIDE,M,ES211,PER_100000_POP,11.0
2011,SH_STA_SCIDE,M,ES211,PER_100000_POP,9.4
2022,SH_STA_SCIDE,M,ES211,PER_100000_POP,14.1
2012,SH_STA_SCIDE,M,ES211,PER_100000_POP,10.6
2015,SH_STA_SCIDE,M,ES211,PER_100000_POP,8.8
2017,SH_STA_SCIDE,M,ES211,PER_100000_POP,8.1
2010,SH_STA_SCIDE,M,ES211,PER_100000_POP,15.1
2016,SH_STA_SCIDE,M,ES211,PER_100000_POP,11.9
2013,SH_STA_SCIDE,M,ES211,PER_100000_POP,11.3
2019,SH_STA_SCIDE,M,ES211,PER_100000_POP,12.4
2014,SH_STA_SCIDE,M,ES211,PER_100000_POP,10.1
2020,SH_STA_SCIDE,M,ES211,PER_100000_POP,12.3
2021,SH_STA_SCIDE,M,ES211,PER_100000_POP,11.7
2018,SH_STA_SCIDE,M,ES211,PER_100000_POP,10.6
2010,SH_STA_SCIDE,M,ES213,PER_100000_POP,8.4
2013,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.9
2022,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.8
2023,SH_STA_SCIDE,M,ES213,PER_100000_POP,7.4
2020,SH_STA_SCIDE,M,ES213,PER_100000_POP,14.1
2018,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.7
2019,SH_STA_SCIDE,M,ES213,PER_100000_POP,10.0
2016,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.3
2014,SH_STA_SCIDE,M,ES213,PER_100000_POP,12.9
2021,SH_STA_SCIDE,M,ES213,PER_100000_POP,8.7
2017,SH_STA_SCIDE,M,ES213,PER_100000_POP,13.5
2015,SH_STA_SCIDE,M,ES213,PER_100000_POP,13.3
2012,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.3
2011,SH_STA_SCIDE,M,ES213,PER_100000_POP,11.3
2023,SH_STA_SCIDE,M,ES212,PER_100000_POP,13.1
2021,SH_STA_SCIDE,M,ES212,PER_100000_POP,11.4
2020,SH_STA_SCIDE,M,ES212,PER_100000_POP,11.7
2018,SH_STA_SCIDE,M,ES212,PER_100000_POP,9.7
2011,SH_STA_SCIDE,M,ES212,PER_100000_POP,13.0
2016,SH_STA_SCIDE,M,ES212,PER_100000_POP,14.9
2019,SH_STA_SCIDE,M,ES212,PER_100000_POP,11.7
2013,SH_STA_SCIDE,M,ES212,PER_100000_POP,12.7
2017,SH_STA_SCIDE,M,ES212,PER_100000_POP,13.5
2014,SH_STA_SCIDE,M,ES212,PER_100000_POP,10.4
2015,SH_STA_SCIDE,M,ES212,PER_100000_POP,11.5
2012,SH_STA_SCIDE,M,ES212,PER_100000_POP,15.3
2010,SH_STA_SCIDE,M,ES212,PER_100000_POP,10.2
2022,SH_STA_SCIDE,M,ES212,PER_100000_POP,10.3
