Year,Territorio,Units,Value
2019,,PT,0.01
2022,,PT,0.0
2021,,PT,0.02
2018,,PT,0.01
2023,,PT,0.0
2017,,PT,0.02
2015,,PT,0.02
2012,,PT,0.0
2016,,PT,0.01
2011,,PT,0.09
2014,,PT,0.03
2013,,PT,0.01
2010,,PT,0.07
2020,,PT,0.0
2012,ES211,PT,0.0
2013,ES211,PT,0.01
2014,ES211,PT,0.0
2010,ES211,PT,0.09
2018,ES211,PT,0.01
2017,ES211,PT,0.05
2011,ES211,PT,0.0
2020,ES211,PT,0.0
2021,ES211,PT,0.02
2015,ES211,PT,0.01
2019,ES211,PT,0.01
2022,ES211,PT,0.01
2016,ES211,PT,0.0
2023,ES211,PT,0.0
2013,ES213,PT,0.01
2015,ES213,PT,0.02
2016,ES213,PT,0.0
2017,ES213,PT,0.01
2019,ES213,PT,0.01
2020,ES213,PT,0.0
2021,ES213,PT,0.02
2023,ES213,PT,0.0
2010,ES213,PT,0.08
2011,ES213,PT,0.04
2012,ES213,PT,0.0
2022,ES213,PT,0.0
2018,ES213,PT,0.01
2014,ES213,PT,0.03
2022,ES212,PT,0.0
2023,ES212,PT,0.0
2010,ES212,PT,0.04
2011,ES212,PT,0.22
2012,ES212,PT,0.0
2013,ES212,PT,0.02
2014,ES212,PT,0.06
2015,ES212,PT,0.02
2016,ES212,PT,0.01
2017,ES212,PT,0.03
2018,ES212,PT,0.0
2019,ES212,PT,0.01
2020,ES212,PT,0.01
2021,ES212,PT,0.02
