Year,Series,Units,Value
2000,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,3.5
2004,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,5.2
2008,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,5.7
2012,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,7.7
2014,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,7.5
2016,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,6.7
2018,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,3.9
2020,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,3.7
2022,Prevalencia de la inseguridad alimentaria grave o muy grave,Porcentaje,3.0
2000,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,1.1
2004,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,2.7
2008,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,2.1
2012,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,3.1
2014,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,2.9
2016,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,3.1
2018,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,1.8
2020,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,1.9
2022,Prevalencia de la inseguridad alimentaria muy grave,Porcentaje,1.1
