Year,Series,Sexo,Territorio histórico,Units,Value
2012,Esperanza de vida al nacer,,,Años,82.48
2022,Esperanza de vida al nacer,,,Años,83.35
2010,Esperanza de vida al nacer,,,Años,82.27
2017,Esperanza de vida al nacer,,,Años,83.41
2015,Esperanza de vida al nacer,,,Años,83.11
2021,Esperanza de vida al nacer,,,Años,83.57
2018,Esperanza de vida al nacer,,,Años,83.53
2024,Esperanza de vida al nacer,,,Años,84.39
2019,Esperanza de vida al nacer,,,Años,83.77
2014,Esperanza de vida al nacer,,,Años,83.09
2013,Esperanza de vida al nacer,,,Años,82.99
2011,Esperanza de vida al nacer,,,Años,82.38
2016,Esperanza de vida al nacer,,,Años,83.33
2020,Esperanza de vida al nacer,,,Años,83.57
2023,Esperanza de vida al nacer,,,Años,83.98
2018,Esperanza de vida al nacer,,Araba/Álava,Años,84.01
2011,Esperanza de vida al nacer,,Araba/Álava,Años,83.03
2010,Esperanza de vida al nacer,,Araba/Álava,Años,82.87
2017,Esperanza de vida al nacer,,Araba/Álava,Años,84.13
2015,Esperanza de vida al nacer,,Araba/Álava,Años,83.69
2013,Esperanza de vida al nacer,,Araba/Álava,Años,83.63
2020,Esperanza de vida al nacer,,Araba/Álava,Años,84.13
2021,Esperanza de vida al nacer,,Araba/Álava,Años,84.24
2023,Esperanza de vida al nacer,,Araba/Álava,Años,84.69
2022,Esperanza de vida al nacer,,Araba/Álava,Años,83.86
2016,Esperanza de vida al nacer,,Araba/Álava,Años,83.97
2019,Esperanza de vida al nacer,,Araba/Álava,Años,84.26
2012,Esperanza de vida al nacer,,Araba/Álava,Años,83.37
2014,Esperanza de vida al nacer,,Araba/Álava,Años,83.57
2024,Esperanza de vida al nacer,,Araba/Álava,Años,84.73
2017,Esperanza de vida al nacer,,Bizkaia,Años,83.27
2024,Esperanza de vida al nacer,,Bizkaia,Años,84.39
2011,Esperanza de vida al nacer,,Bizkaia,Años,81.99
2016,Esperanza de vida al nacer,,Bizkaia,Años,83.06
2015,Esperanza de vida al nacer,,Bizkaia,Años,83.0
2020,Esperanza de vida al nacer,,Bizkaia,Años,83.27
2019,Esperanza de vida al nacer,,Bizkaia,Años,83.48
2023,Esperanza de vida al nacer,,Bizkaia,Años,83.9
2013,Esperanza de vida al nacer,,Bizkaia,Años,82.83
2010,Esperanza de vida al nacer,,Bizkaia,Años,81.96
2022,Esperanza de vida al nacer,,Bizkaia,Años,83.42
2018,Esperanza de vida al nacer,,Bizkaia,Años,83.49
2014,Esperanza de vida al nacer,,Bizkaia,Años,82.95
2012,Esperanza de vida al nacer,,Bizkaia,Años,82.2
2021,Esperanza de vida al nacer,,Bizkaia,Años,83.48
2015,Esperanza de vida al nacer,,Gipuzkoa,Años,83.06
2021,Esperanza de vida al nacer,,Gipuzkoa,Años,83.4
2023,Esperanza de vida al nacer,,Gipuzkoa,Años,83.81
2022,Esperanza de vida al nacer,,Gipuzkoa,Años,83.06
2014,Esperanza de vida al nacer,,Gipuzkoa,Años,83.1
2017,Esperanza de vida al nacer,,Gipuzkoa,Años,83.35
2012,Esperanza de vida al nacer,,Gipuzkoa,Años,82.58
2013,Esperanza de vida al nacer,,Gipuzkoa,Años,83.0
2016,Esperanza de vida al nacer,,Gipuzkoa,Años,83.51
2018,Esperanza de vida al nacer,,Gipuzkoa,Años,83.4
2024,Esperanza de vida al nacer,,Gipuzkoa,Años,84.26
2020,Esperanza de vida al nacer,,Gipuzkoa,Años,83.78
2010,Esperanza de vida al nacer,,Gipuzkoa,Años,82.54
2019,Esperanza de vida al nacer,,Gipuzkoa,Años,84.03
2011,Esperanza de vida al nacer,,Gipuzkoa,Años,82.73
2015,Esperanza de vida al nacer,Mujer,,Años,85.99
2020,Esperanza de vida al nacer,Mujer,,Años,86.3
2024,Esperanza de vida al nacer,Mujer,,Años,86.98
2012,Esperanza de vida al nacer,Mujer,,Años,85.58
2010,Esperanza de vida al nacer,Mujer,,Años,85.55
2011,Esperanza de vida al nacer,Mujer,,Años,85.55
2013,Esperanza de vida al nacer,Mujer,,Años,86.05
2022,Esperanza de vida al nacer,Mujer,,Años,86.05
2016,Esperanza de vida al nacer,Mujer,,Años,86.16
2017,Esperanza de vida al nacer,Mujer,,Años,86.31
2019,Esperanza de vida al nacer,Mujer,,Años,86.55
2018,Esperanza de vida al nacer,Mujer,,Años,86.35
2021,Esperanza de vida al nacer,Mujer,,Años,86.38
2023,Esperanza de vida al nacer,Mujer,,Años,86.64
2014,Esperanza de vida al nacer,Mujer,,Años,86.1
2017,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.94
2010,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.12
2024,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,87.29
2011,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,85.93
2013,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.65
2023,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,87.27
2020,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.86
2018,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.76
2016,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.45
2019,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,87.6
2015,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.5
2012,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.18
2014,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.59
2022,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,86.26
2021,Esperanza de vida al nacer,Mujer,Araba/Álava,Años,87.2
2021,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.32
2024,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.86
2022,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.16
2020,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.1
2013,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.79
2014,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.83
2019,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.27
2018,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.32
2010,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.45
2011,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.29
2023,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.39
2017,Esperanza de vida al nacer,Mujer,Bizkaia,Años,86.11
2012,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.3
2015,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.95
2016,Esperanza de vida al nacer,Mujer,Bizkaia,Años,85.97
2019,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.59
2014,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.33
2021,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.13
2020,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.37
2017,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.39
2015,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.85
2024,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,87.05
2023,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.77
2012,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.81
2016,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.3
2013,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.25
2011,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.82
2018,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,86.25
2022,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.84
2010,Esperanza de vida al nacer,Mujer,Gipuzkoa,Años,85.49
2024,Esperanza de vida al nacer,Hombre,,Años,81.65
2013,Esperanza de vida al nacer,Hombre,,Años,79.78
2019,Esperanza de vida al nacer,Hombre,,Años,80.82
2023,Esperanza de vida al nacer,Hombre,,Años,81.17
2018,Esperanza de vida al nacer,Hombre,,Años,80.54
2011,Esperanza de vida al nacer,Hombre,,Años,79.08
2012,Esperanza de vida al nacer,Hombre,,Años,79.27
2022,Esperanza de vida al nacer,Hombre,,Años,80.52
2015,Esperanza de vida al nacer,Hombre,,Años,80.08
2021,Esperanza de vida al nacer,Hombre,,Años,80.64
2014,Esperanza de vida al nacer,Hombre,,Años,79.91
2017,Esperanza de vida al nacer,Hombre,,Años,80.37
2016,Esperanza de vida al nacer,Hombre,,Años,80.34
2020,Esperanza de vida al nacer,Hombre,,Años,80.68
2010,Esperanza de vida al nacer,Hombre,,Años,78.88
2010,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,79.68
2024,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,82.1
2017,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.28
2016,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.38
2023,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,82.05
2022,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.37
2011,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.14
2018,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.22
2015,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.84
2014,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.51
2020,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.34
2013,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.58
2012,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.54
2021,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,81.3
2019,Esperanza de vida al nacer,Hombre,Araba/Álava,Años,80.97
2011,Esperanza de vida al nacer,Hombre,Bizkaia,Años,78.53
2024,Esperanza de vida al nacer,Hombre,Bizkaia,Años,81.7
2022,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.49
2020,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.27
2021,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.47
2023,Esperanza de vida al nacer,Hombre,Bizkaia,Años,81.17
2018,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.44
2016,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.94
2017,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.22
2014,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.84
2012,Esperanza de vida al nacer,Hombre,Bizkaia,Años,78.93
2019,Esperanza de vida al nacer,Hombre,Bizkaia,Años,80.49
2015,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.84
2013,Esperanza de vida al nacer,Hombre,Bizkaia,Años,79.65
2010,Esperanza de vida al nacer,Hombre,Bizkaia,Años,78.34
2012,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.26
2014,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.77
2010,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.42
2017,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.2
2016,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.54
2015,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.12
2013,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.66
2018,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.42
2011,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,79.5
2024,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,81.38
2023,Esperanza de vida al nacer,Hombre,Gipuzkoa,Años,80.79
