Year,Sexo,Territorio,Units,Value
2011,,,PER_100000_POP,1.3
2010,,,PER_100000_POP,1.3
2020,,,PER_100000_POP,1.8
2014,,,PER_100000_POP,1.8
2013,,,PER_100000_POP,1.7
2024,,,PER_100000_POP,1.1
2021,,,PER_100000_POP,1.8
2019,,,PER_100000_POP,1.6
2023,,,PER_100000_POP,1.8
2016,,,PER_100000_POP,1.8
2015,,,PER_100000_POP,1.6
2018,,,PER_100000_POP,1.4
2012,,,PER_100000_POP,1.2
2017,,,PER_100000_POP,2.0
2022,,,PER_100000_POP,1.9
2015,,ES211,PER_100000_POP,1.9
2023,,ES211,PER_100000_POP,2.1
2016,,ES211,PER_100000_POP,0.9
2021,,ES211,PER_100000_POP,1.5
2024,,ES211,PER_100000_POP,0.0
2017,,ES211,PER_100000_POP,1.8
2018,,ES211,PER_100000_POP,2.4
2019,,ES211,PER_100000_POP,1.5
2011,,ES211,PER_100000_POP,0.6
2012,,ES211,PER_100000_POP,0.6
2014,,ES211,PER_100000_POP,2.2
2020,,ES211,PER_100000_POP,2.7
2013,,ES211,PER_100000_POP,0.9
2010,,ES211,PER_100000_POP,0.9
2022,,ES211,PER_100000_POP,1.8
2015,,ES213,PER_100000_POP,1.8
2014,,ES213,PER_100000_POP,1.8
2017,,ES213,PER_100000_POP,2.2
2010,,ES213,PER_100000_POP,1.9
2023,,ES213,PER_100000_POP,2.3
2012,,ES213,PER_100000_POP,1.8
2022,,ES213,PER_100000_POP,2.1
2024,,ES213,PER_100000_POP,1.2
2016,,ES213,PER_100000_POP,1.8
2021,,ES213,PER_100000_POP,1.8
2013,,ES213,PER_100000_POP,1.8
2019,,ES213,PER_100000_POP,1.6
2018,,ES213,PER_100000_POP,1.4
2020,,ES213,PER_100000_POP,2.0
2011,,ES213,PER_100000_POP,1.6
2018,,ES212,PER_100000_POP,1.0
2021,,ES212,PER_100000_POP,1.8
2019,,ES212,PER_100000_POP,1.8
2015,,ES212,PER_100000_POP,1.1
2010,,ES212,PER_100000_POP,0.6
2011,,ES212,PER_100000_POP,1.0
2020,,ES212,PER_100000_POP,1.0
2012,,ES212,PER_100000_POP,0.4
2014,,ES212,PER_100000_POP,1.7
2022,,ES212,PER_100000_POP,1.5
2016,,ES212,PER_100000_POP,2.2
2023,,ES212,PER_100000_POP,1.0
2013,,ES212,PER_100000_POP,1.7
2024,,ES212,PER_100000_POP,1.4
2017,,ES212,PER_100000_POP,1.7
2015,F,,PER_100000_POP,1.2
2013,F,,PER_100000_POP,0.4
2022,F,,PER_100000_POP,1.6
2016,F,,PER_100000_POP,1.3
2012,F,,PER_100000_POP,0.4
2014,F,,PER_100000_POP,1.2
2018,F,,PER_100000_POP,1.3
2017,F,,PER_100000_POP,0.8
2011,F,,PER_100000_POP,0.4
2024,F,,PER_100000_POP,0.6
2021,F,,PER_100000_POP,1.2
2010,F,,PER_100000_POP,0.7
2023,F,,PER_100000_POP,1.2
2019,F,,PER_100000_POP,0.8
2020,F,,PER_100000_POP,1.0
2024,F,ES211,PER_100000_POP,0.0
2022,F,ES211,PER_100000_POP,2.4
2015,F,ES211,PER_100000_POP,1.8
2020,F,ES211,PER_100000_POP,1.2
2019,F,ES211,PER_100000_POP,0.6
2017,F,ES211,PER_100000_POP,1.2
2013,F,ES211,PER_100000_POP,0.0
2011,F,ES211,PER_100000_POP,0.0
2023,F,ES211,PER_100000_POP,1.8
2012,F,ES211,PER_100000_POP,0.0
2010,F,ES211,PER_100000_POP,1.3
2014,F,ES211,PER_100000_POP,1.2
2016,F,ES211,PER_100000_POP,1.2
2021,F,ES211,PER_100000_POP,0.0
2018,F,ES211,PER_100000_POP,3.0
2023,F,ES213,PER_100000_POP,1.3
2024,F,ES213,PER_100000_POP,0.8
2021,F,ES213,PER_100000_POP,1.5
2020,F,ES213,PER_100000_POP,0.8
