Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2015,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,3.3
2018,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,3.5
2020,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,3.4
2010,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,5.3
2021,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,5.0
2016,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,4.8
2019,,16 urte eta gehiago,,,,,Alegia,%,Alegia,9.2
2018,,16 urte eta gehiago,,,,,Alegia,%,Alegia,11.3
2020,,16 urte eta gehiago,,,,,Alegia,%,Alegia,9.5
2015,,16 urte eta gehiago,,,,,Alegia,%,Alegia,14.5
2021,,16 urte eta gehiago,,,,,Alegia,%,Alegia,10.9
2010,,16 urte eta gehiago,,,,,Alegia,%,Alegia,8.1
2016,,16 urte eta gehiago,,,,,Alegia,%,Alegia,16.4
2019,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2016,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.8
2010,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2015,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.6
2020,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.4
2018,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.6
2021,,16 urte eta gehiago,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,11.8
2019,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,8.7
2021,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,7.0
2020,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,5.4
2018,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,5.8
2016,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,9.7
2010,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,4.7
2015,,16 urte eta gehiago,,,,,Alkiza,%,Alkiza,10.2
2019,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,15.4
2021,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,14.0
2020,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,12.4
2010,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,9.5
2015,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,19.3
2016,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,20.0
2018,,16 urte eta gehiago,,,,,Alonsotegi,%,Alonsotegi,15.8
2018,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,8.0
2010,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,2.4
2021,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,4.4
2019,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,6.3
2020,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,9.1
2016,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,6.8
2015,,16 urte eta gehiago,,,,,Altzaga,%,Altzaga,13.6
2015,,16 urte eta gehiago,,,,,Altzo,%,Altzo,10.8
2018,,16 urte eta gehiago,,,,,Altzo,%,Altzo,6.7
2021,,16 urte eta gehiago,,,,,Altzo,%,Altzo,5.9
2010,,16 urte eta gehiago,,,,,Altzo,%,Altzo,6.3
2020,,16 urte eta gehiago,,,,,Altzo,%,Altzo,5.9
2016,,16 urte eta gehiago,,,,,Altzo,%,Altzo,12.1
2019,,16 urte eta gehiago,,,,,Altzo,%,Altzo,4.1
2015,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,11.0
2020,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,7.8
2021,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,9.2
2019,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,8.4
2016,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,10.8
2010,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,7.3
2018,,16 urte eta gehiago,,,,,Amezketa,%,Amezketa,10.8
2018,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2010,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.1
2016,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,12.6
2019,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2020,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2015,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,14.4
2021,,16 urte eta gehiago,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.2
2018,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,6.7
2019,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,8.4
2020,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,10.4
2015,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,11.0
2021,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,7.0
2016,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,8.2
2010,,16 urte eta gehiago,,,,,Amoroto,%,Amoroto,8.7
2010,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,9.3
2016,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,15.8
2021,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,11.4
2020,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,11.2
2015,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,16.1
2018,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,12.0
2019,,16 urte eta gehiago,,,,,Amurrio,%,Amurrio,10.7
2021,,16 urte eta gehiago,,,,,Andoain,%,Andoain,9.8
2016,,16 urte eta gehiago,,,,,Andoain,%,Andoain,13.7
2010,,16 urte eta gehiago,,,,,Andoain,%,Andoain,8.5
2019,,16 urte eta gehiago,,,,,Andoain,%,Andoain,9.1
2018,,16 urte eta gehiago,,,,,Andoain,%,Andoain,10.4
2015,,16 urte eta gehiago,,,,,Andoain,%,Andoain,13.8
2020,,16 urte eta gehiago,,,,,Andoain,%,Andoain,8.4
2016,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,13.6
2010,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,8.1
2015,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,14.0
2020,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,8.0
2019,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,8.4
2021,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,8.7
2018,,16 urte eta gehiago,,,,,Anoeta,%,Anoeta,9.5
2019,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,5.0
2020,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,6.1
2015,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,10.2
2016,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,8.5
2018,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,4.9
2010,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,6.9
2021,,16 urte eta gehiago,,,,,Antzuola,%,Antzuola,7.1
2018,,16 urte eta gehiago,,,,,Añana,%,Añana,8.2
2020,,16 urte eta gehiago,,,,,Añana,%,Añana,9.3
2016,,16 urte eta gehiago,,,,,Añana,%,Añana,15.6
2019,,16 urte eta gehiago,,,,,Añana,%,Añana,7.0
2010,,16 urte eta gehiago,,,,,Añana,%,Añana,6.3
2021,,16 urte eta gehiago,,,,,Añana,%,Añana,8.2
2015,,16 urte eta gehiago,,,,,Añana,%,Añana,17.9
2019,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,10.8
2015,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,16.3
2018,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,16.3
2021,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,15.8
2010,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,7.1
2016,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,11.2
2020,,16 urte eta gehiago,,,,,Arakaldo,%,Arakaldo,14.1
2018,,16 urte eta gehiago,,,,,Arama,%,Arama,6.5
2010,,16 urte eta gehiago,,,,,Arama,%,Arama,6.1
2015,,16 urte eta gehiago,,,,,Arama,%,Arama,11.4
2020,,16 urte eta gehiago,,,,,Arama,%,Arama,7.6
2016,,16 urte eta gehiago,,,,,Arama,%,Arama,5.9
2021,,16 urte eta gehiago,,,,,Arama,%,Arama,5.3
2019,,16 urte eta gehiago,,,,,Arama,%,Arama,6.1
2018,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,4.7
2010,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,5.5
2019,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,4.3
2015,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,10.8
2016,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,8.6
2020,,16 urte eta gehiago,,,,,Aramaio,%,Aramaio,4.3
