Year,Habilidad informática,Edad,Sexo,Territorio histórico,Units,Value
2020,,16-24 años,Hombre,Bizkaia,%,92.0
2020,,16-24 años,Hombre,Gipuzkoa,%,98.1
2024,,16-24 años,Hombre,Gipuzkoa,%,94.0
2023,,16-24 años,Hombre,Gipuzkoa,%,94.6
2021,,16-24 años,Hombre,Gipuzkoa,%,98.3
2019,,16-24 años,Hombre,Gipuzkoa,%,89.4
2022,,16-24 años,Hombre,Gipuzkoa,%,96.4
2022,,25-74 años,,,%,65.3
2021,,25-74 años,,,%,72.2
2023,,25-74 años,,,%,68.3
2024,,25-74 años,,,%,66.5
2019,,25-74 años,,,%,63.8
2020,,25-74 años,,,%,66.6
2021,,25-74 años,,Araba/Álava,%,72.5
2023,,25-74 años,,Araba/Álava,%,67.4
2019,,25-74 años,,Araba/Álava,%,65.5
2020,,25-74 años,,Araba/Álava,%,66.6
2022,,25-74 años,,Araba/Álava,%,65.2
2024,,25-74 años,,Araba/Álava,%,66.1
2021,,25-74 años,,Bizkaia,%,72.1
2024,,25-74 años,,Bizkaia,%,68.0
2019,,25-74 años,,Bizkaia,%,64.7
2020,,25-74 años,,Bizkaia,%,66.6
2023,,25-74 años,,Bizkaia,%,68.4
2022,,25-74 años,,Bizkaia,%,65.0
2020,,25-74 años,,Gipuzkoa,%,66.6
2023,,25-74 años,,Gipuzkoa,%,68.4
2022,,25-74 años,,Gipuzkoa,%,65.7
2021,,25-74 años,,Gipuzkoa,%,72.1
2024,,25-74 años,,Gipuzkoa,%,64.2
2019,,25-74 años,,Gipuzkoa,%,61.7
2019,,25-74 años,Mujer,,%,60.8
2024,,25-74 años,Mujer,,%,64.9
2021,,25-74 años,Mujer,,%,70.9
2020,,25-74 años,Mujer,,%,65.0
2023,,25-74 años,Mujer,,%,67.0
2022,,25-74 años,Mujer,,%,64.5
2022,,25-74 años,Mujer,Araba/Álava,%,64.5
2021,,25-74 años,Mujer,Araba/Álava,%,71.8
2019,,25-74 años,Mujer,Araba/Álava,%,62.2
2023,,25-74 años,Mujer,Araba/Álava,%,69.8
2020,,25-74 años,Mujer,Araba/Álava,%,67.8
2024,,25-74 años,Mujer,Araba/Álava,%,62.9
2020,,25-74 años,Mujer,Bizkaia,%,64.4
2023,,25-74 años,Mujer,Bizkaia,%,66.2
2019,,25-74 años,Mujer,Bizkaia,%,61.3
2021,,25-74 años,Mujer,Bizkaia,%,70.0
2022,,25-74 años,Mujer,Bizkaia,%,63.3
2024,,25-74 años,Mujer,Bizkaia,%,66.3
2019,,25-74 años,Mujer,Gipuzkoa,%,59.3
2021,,25-74 años,Mujer,Gipuzkoa,%,72.0
2020,,25-74 años,Mujer,Gipuzkoa,%,64.6
2024,,25-74 años,Mujer,Gipuzkoa,%,63.6
2023,,25-74 años,Mujer,Gipuzkoa,%,67.0
2022,,25-74 años,Mujer,Gipuzkoa,%,66.5
2019,,25-74 años,Hombre,,%,66.9
2022,,25-74 años,Hombre,,%,66.1
2023,,25-74 años,Hombre,,%,69.6
2020,,25-74 años,Hombre,,%,68.3
2024,,25-74 años,Hombre,,%,68.1
2021,,25-74 años,Hombre,,%,73.4
2021,,25-74 años,Hombre,Araba/Álava,%,73.2
2023,,25-74 años,Hombre,Araba/Álava,%,65.0
2022,,25-74 años,Hombre,Araba/Álava,%,65.9
2020,,25-74 años,Hombre,Araba/Álava,%,65.3
2024,,25-74 años,Hombre,Araba/Álava,%,69.4
2019,,25-74 años,Hombre,Araba/Álava,%,68.8
2024,,25-74 años,Hombre,Bizkaia,%,69.8
2020,,25-74 años,Hombre,Bizkaia,%,68.8
2023,,25-74 años,Hombre,Bizkaia,%,70.8
2021,,25-74 años,Hombre,Bizkaia,%,74.3
2022,,25-74 años,Hombre,Bizkaia,%,66.9
2019,,25-74 años,Hombre,Bizkaia,%,68.2
2022,,25-74 años,Hombre,Gipuzkoa,%,64.8
2023,,25-74 años,Hombre,Gipuzkoa,%,69.9
2021,,25-74 años,Hombre,Gipuzkoa,%,72.1
2024,,25-74 años,Hombre,Gipuzkoa,%,64.9
2019,,25-74 años,Hombre,Gipuzkoa,%,64.0
2020,,25-74 años,Hombre,Gipuzkoa,%,68.8
2021,Instalar software o aplicaciones(apps),,,,%,64.6
2022,Instalar software o aplicaciones(apps),,,,%,54.0
2024,Instalar software o aplicaciones(apps),,,,%,47.8
2019,Instalar software o aplicaciones(apps),,,,%,53.9
2023,Instalar software o aplicaciones(apps),,,,%,51.6
2020,Instalar software o aplicaciones(apps),,,,%,58.8
2021,Instalar software o aplicaciones(apps),,,Araba/Álava,%,65.8
2020,Instalar software o aplicaciones(apps),,,Araba/Álava,%,57.3
2022,Instalar software o aplicaciones(apps),,,Araba/Álava,%,53.0
2024,Instalar software o aplicaciones(apps),,,Araba/Álava,%,48.8
2023,Instalar software o aplicaciones(apps),,,Araba/Álava,%,52.5
2019,Instalar software o aplicaciones(apps),,,Araba/Álava,%,54.5
2023,Instalar software o aplicaciones(apps),,,Bizkaia,%,51.9
2020,Instalar software o aplicaciones(apps),,,Bizkaia,%,58.3
2022,Instalar software o aplicaciones(apps),,,Bizkaia,%,54.5
2019,Instalar software o aplicaciones(apps),,,Bizkaia,%,55.2
2021,Instalar software o aplicaciones(apps),,,Bizkaia,%,64.3
2024,Instalar software o aplicaciones(apps),,,Bizkaia,%,48.4
2021,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,64.6
2020,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,60.2
2023,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,50.7
2024,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,46.4
2022,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,53.6
2019,Instalar software o aplicaciones(apps),,,Gipuzkoa,%,51.6
2020,Instalar software o aplicaciones(apps),,Mujer,,%,56.7
2023,Instalar software o aplicaciones(apps),,Mujer,,%,49.0
2022,Instalar software o aplicaciones(apps),,Mujer,,%,51.9
2024,Instalar software o aplicaciones(apps),,Mujer,,%,44.6
2021,Instalar software o aplicaciones(apps),,Mujer,,%,61.2
2019,Instalar software o aplicaciones(apps),,Mujer,,%,50.6
2019,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,49.8
2024,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,43.8
2021,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,62.0
2023,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,52.5
2020,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,55.8
2022,Instalar software o aplicaciones(apps),,Mujer,Araba/Álava,%,50.2
2023,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,49.4
2022,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,52.2
2021,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,60.6
2024,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,45.8
2020,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,56.8
2019,Instalar software o aplicaciones(apps),,Mujer,Bizkaia,%,51.5
2019,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,49.4
2020,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,56.9
2024,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,43.1
2022,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,52.2
2021,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,62.0
2023,Instalar software o aplicaciones(apps),,Mujer,Gipuzkoa,%,46.9
2020,Instalar software o aplicaciones(apps),,Hombre,,%,60.9
2024,Instalar software o aplicaciones(apps),,Hombre,,%,51.2
2021,Instalar software o aplicaciones(apps),,Hombre,,%,68.1
2019,Instalar software o aplicaciones(apps),,Hombre,,%,57.3
2023,Instalar software o aplicaciones(apps),,Hombre,,%,54.3
2022,Instalar software o aplicaciones(apps),,Hombre,,%,56.2
2023,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,52.5
2021,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,69.7
2020,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,58.7
2024,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,53.9
2019,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,59.3
2022,Instalar software o aplicaciones(apps),,Hombre,Araba/Álava,%,56.0
2022,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,57.0
2021,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,68.2
2023,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,54.6
2024,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,51.2
2020,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,59.8
2019,Instalar software o aplicaciones(apps),,Hombre,Bizkaia,%,59.0
2023,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,54.5
2024,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,49.9
2019,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,53.9
2020,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,63.7
2022,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,55.1
2021,Instalar software o aplicaciones(apps),,Hombre,Gipuzkoa,%,67.1
2021,Instalar software o aplicaciones(apps),16-24 años,,,%,88.7
2024,Instalar software o aplicaciones(apps),16-24 años,,,%,69.3
2020,Instalar software o aplicaciones(apps),16-24 años,,,%,87.5
2022,Instalar software o aplicaciones(apps),16-24 años,,,%,81.1
2019,Instalar software o aplicaciones(apps),16-24 años,,,%,83.4
2023,Instalar software o aplicaciones(apps),16-24 años,,,%,76.6
2022,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,79.5
2021,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,89.7
2023,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,72.3
2019,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,82.8
2024,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,70.0
2020,Instalar software o aplicaciones(apps),16-24 años,,Araba/Álava,%,92.4
2020,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,87.1
2022,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,82.2
2024,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,64.8
2021,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,87.1
2019,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,84.9
2023,Instalar software o aplicaciones(apps),16-24 años,,Bizkaia,%,76.0
2022,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,80.0
2021,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,90.5
2023,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,79.3
2024,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,75.3
2020,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,86.0
2019,Instalar software o aplicaciones(apps),16-24 años,,Gipuzkoa,%,81.5
2023,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,79.7
2020,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,86.8
2024,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,65.5
2021,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,86.3
2022,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,78.5
2019,Instalar software o aplicaciones(apps),16-24 años,Mujer,,%,85.7
2021,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,84.2
2019,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,83.5
2023,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,78.4
2020,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,91.9
2022,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,82.4
2024,Instalar software o aplicaciones(apps),16-24 años,Mujer,Araba/Álava,%,66.6
2020,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,88.5
2024,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,62.3
2019,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,86.8
2023,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,79.7
2021,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,86.7
2022,Instalar software o aplicaciones(apps),16-24 años,Mujer,Bizkaia,%,80.3
2023,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,80.1
2021,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,86.6
2019,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,85.2
2020,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,82.0
2024,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,69.7
2022,Instalar software o aplicaciones(apps),16-24 años,Mujer,Gipuzkoa,%,74.2
2024,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,72.7
2020,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,88.2
2019,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,81.0
2021,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,90.8
2023,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,73.7
2022,Instalar software o aplicaciones(apps),16-24 años,Hombre,,%,83.5
2021,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,94.3
2024,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,73.2
2019,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,82.0
2023,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,67.6
2022,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,76.7
2020,Instalar software o aplicaciones(apps),16-24 años,Hombre,Araba/Álava,%,92.8
2019,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,82.9
2021,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,87.5
2020,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,85.7
2023,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,72.4
2024,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,67.1
2022,Instalar software o aplicaciones(apps),16-24 años,Hombre,Bizkaia,%,84.0
2020,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,89.7
2023,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,78.6
2021,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,93.7
2022,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,85.5
2019,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,78.0
2024,Instalar software o aplicaciones(apps),16-24 años,Hombre,Gipuzkoa,%,80.3
2022,Instalar software o aplicaciones(apps),25-74 años,,,%,50.4
2019,Instalar software o aplicaciones(apps),25-74 años,,,%,50.6
2024,Instalar software o aplicaciones(apps),25-74 años,,,%,44.8
2023,Instalar software o aplicaciones(apps),25-74 años,,,%,48.3
2021,Instalar software o aplicaciones(apps),25-74 años,,,%,61.4
2020,Instalar software o aplicaciones(apps),25-74 años,,,%,55.2
2023,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,49.8
2019,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,51.3
2024,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,45.9
2020,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,52.9
2021,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,62.6
2022,Instalar software o aplicaciones(apps),25-74 años,,Araba/Álava,%,49.9
2024,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,46.2
2022,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,50.9
2021,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,61.4
2020,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,54.9
2023,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,48.9
2019,Instalar software o aplicaciones(apps),25-74 años,,Bizkaia,%,52.1
2020,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,56.9
2021,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,60.9
2024,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,42.0
2019,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,47.9
2022,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,49.9
2023,Instalar software o aplicaciones(apps),25-74 años,,Gipuzkoa,%,46.7
2021,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,58.1
2019,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,46.7
2023,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,45.2
2020,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,53.2
2022,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,48.5
2024,Instalar software o aplicaciones(apps),25-74 años,Mujer,,%,41.9
2019,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,45.8
2024,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,40.9
2021,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,59.3
2023,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,49.4
2022,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,46.4
2020,Instalar software o aplicaciones(apps),25-74 años,Mujer,Araba/Álava,%,51.7
2024,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,43.8
2020,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,53.2
2022,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,48.7
2021,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,57.3
2023,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,45.7
2019,Instalar software o aplicaciones(apps),25-74 años,Mujer,Bizkaia,%,47.9
2024,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,39.3
2020,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,53.7
2022,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,49.2
2021,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,58.9
2023,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,42.4
2019,Instalar software o aplicaciones(apps),25-74 años,Mujer,Gipuzkoa,%,45.1
2020,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,57.4
2022,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,52.5
2024,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,47.9
2021,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,64.8
2019,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,54.7
2023,Instalar software o aplicaciones(apps),25-74 años,Hombre,,%,51.5
2023,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,50.1
2020,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,54.1
2024,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,51.2
2019,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,56.9
2022,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,53.4
2021,Instalar software o aplicaciones(apps),25-74 años,Hombre,Araba/Álava,%,65.9
2023,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,52.2
2019,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,56.4
2024,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,48.9
2022,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,53.4
2020,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,56.6
2021,Instalar software o aplicaciones(apps),25-74 años,Hombre,Bizkaia,%,65.6
2023,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,51.1
2024,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,44.8
2021,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,62.9
2020,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,60.1
2022,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,50.6
2019,Instalar software o aplicaciones(apps),25-74 años,Hombre,Gipuzkoa,%,50.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,23.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,21.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,28.4
