Year,Value,Units
2015,3.9,"Per 100,000"
2016,3.0,"Per 100,000"
2017,3.3,"Per 100,000"
2018,4.5,"Per 100,000"
2019,5.1,"Per 100,000"
2020,6.6,"Per 100,000"
2021,30.9,"Per 100,000"
2022,56.8,"Per 100,000"
