Year,Value,Units
2011,1.3,"Per 100,000 inhabitants"
2010,1.3,"Per 100,000 inhabitants"
2020,1.8,"Per 100,000 inhabitants"
2014,1.8,"Per 100,000 inhabitants"
2013,1.7,"Per 100,000 inhabitants"
2024,1.1,"Per 100,000 inhabitants"
2021,1.8,"Per 100,000 inhabitants"
2019,1.6,"Per 100,000 inhabitants"
2023,1.8,"Per 100,000 inhabitants"
2016,1.8,"Per 100,000 inhabitants"
2015,1.6,"Per 100,000 inhabitants"
2018,1.4,"Per 100,000 inhabitants"
2012,1.2,"Per 100,000 inhabitants"
2017,2.0,"Per 100,000 inhabitants"
2022,1.9,"Per 100,000 inhabitants"
