Year,Value,Units,Series
2014,6.84,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2015,6.13,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2016,6.94,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2017,8.34,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2018,7.92,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2019,6.11,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2020,4.99,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2021,7.2,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2022,6.88,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2023,6.1,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
2024,5.91,Millions of euros,Official Development Assistance for poverty reduction (total gross disbursement)
