Year,Value,Units,Series
2017,83.41,Years,Life expectancy at birth
2013,82.99,Years,Life expectancy at birth
2010,82.27,Years,Life expectancy at birth
2018,83.53,Years,Life expectancy at birth
2011,82.38,Years,Life expectancy at birth
2020,83.57,Years,Life expectancy at birth
2019,83.77,Years,Life expectancy at birth
2015,83.11,Years,Life expectancy at birth
2012,82.48,Years,Life expectancy at birth
2023,83.98,Years,Life expectancy at birth
2021,83.57,Years,Life expectancy at birth
2022,83.35,Years,Life expectancy at birth
2014,83.09,Years,Life expectancy at birth
2016,83.33,Years,Life expectancy at birth
