Year,Value,Units,Series
2011,67.21,Millions of euros,Net Official Development Aid from regional and local governments
2014,49.62,Millions of euros,Net Official Development Aid from regional and local governments
2017,65.96,Millions of euros,Net Official Development Aid from regional and local governments
2020,65.98,Millions of euros,Net Official Development Aid from regional and local governments
2010,70.73,Millions of euros,Net Official Development Aid from regional and local governments
2022,78.48,Millions of euros,Net Official Development Aid from regional and local governments
2015,49.43,Millions of euros,Net Official Development Aid from regional and local governments
2016,52.35,Millions of euros,Net Official Development Aid from regional and local governments
2021,73.9,Millions of euros,Net Official Development Aid from regional and local governments
2018,60.66,Millions of euros,Net Official Development Aid from regional and local governments
2012,61.89,Millions of euros,Net Official Development Aid from regional and local governments
2019,63.9,Millions of euros,Net Official Development Aid from regional and local governments
2013,40.98,Millions of euros,Net Official Development Aid from regional and local governments
2010,0.11,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2011,0.1,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2012,0.09,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2013,0.06,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2014,0.07,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2015,0.07,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2016,0.07,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2017,0.09,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2018,0.08,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2019,0.08,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2020,0.09,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2021,0.09,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
2022,0.09,PT,Net Official Development Aid from regional and local governments as a proportion of GDP
