Year,Value,Units
2011,3.4,"Per 1,000 live births"
2010,3.5,"Per 1,000 live births"
2020,3.1,"Per 1,000 live births"
2014,2.9,"Per 1,000 live births"
2013,2.8,"Per 1,000 live births"
2024,2.3,"Per 1,000 live births"
2021,2.9,"Per 1,000 live births"
2019,3.6,"Per 1,000 live births"
2023,3.1,"Per 1,000 live births"
2016,3.2,"Per 1,000 live births"
2015,3.4,"Per 1,000 live births"
2018,3.6,"Per 1,000 live births"
2012,3.2,"Per 1,000 live births"
2017,2.8,"Per 1,000 live births"
2022,3.6,"Per 1,000 live births"
