Year,Value,Units
2011,7.9,"Per 100,000 inhabitants"
2010,6.0,"Per 100,000 inhabitants"
2020,8.4,"Per 100,000 inhabitants"
2014,8.6,"Per 100,000 inhabitants"
2013,8.2,"Per 100,000 inhabitants"
2024,7.7,"Per 100,000 inhabitants"
2021,6.8,"Per 100,000 inhabitants"
2019,6.6,"Per 100,000 inhabitants"
2023,6.4,"Per 100,000 inhabitants"
2016,8.3,"Per 100,000 inhabitants"
2015,7.7,"Per 100,000 inhabitants"
2018,7.5,"Per 100,000 inhabitants"
2012,8.3,"Per 100,000 inhabitants"
2017,8.3,"Per 100,000 inhabitants"
2022,7.9,"Per 100,000 inhabitants"
