Year,Value,Units,Series
2019,60.9,%,Proportion of good-quality water bodies
2022,57.1,%,Proportion of good-quality water bodies
2015,46.8,%,Proportion of good-quality water bodies
2016,58.2,%,Proportion of good-quality water bodies
2017,64.4,%,Proportion of good-quality water bodies
2018,65.8,%,Proportion of good-quality water bodies
2024,59.6,%,Proportion of good-quality water bodies
2020,59.4,%,Proportion of good-quality water bodies
2023,55.7,%,Proportion of good-quality water bodies
2021,62.4,%,Proportion of good-quality water bodies
2021,56.6,%,Proportion of good-quality surface water bodies
2016,50.6,%,Proportion of good-quality surface water bodies
2024,53.3,%,Proportion of good-quality surface water bodies
2017,58.4,%,Proportion of good-quality surface water bodies
2022,50.3,%,Proportion of good-quality surface water bodies
2018,60.8,%,Proportion of good-quality surface water bodies
2023,48.5,%,Proportion of good-quality surface water bodies
2019,54.8,%,Proportion of good-quality surface water bodies
2015,36.0,%,Proportion of good-quality surface water bodies
2020,53.0,%,Proportion of good-quality surface water bodies
2016,91.7,%,Proportion of good-quality groundwater bodies
2023,88.9,%,Proportion of good-quality groundwater bodies
2019,88.9,%,Proportion of good-quality groundwater bodies
2017,91.7,%,Proportion of good-quality groundwater bodies
2020,88.9,%,Proportion of good-quality groundwater bodies
2024,88.9,%,Proportion of good-quality groundwater bodies
2021,88.9,%,Proportion of good-quality groundwater bodies
2022,88.9,%,Proportion of good-quality groundwater bodies
2015,91.7,%,Proportion of good-quality groundwater bodies
2018,88.9,%,Proportion of good-quality groundwater bodies
