Year,Value,Units,Series
2018,149.3,Kg per capita,Hazardous waste generated per capita
2014,148.8,Kg per capita,Hazardous waste generated per capita
2010,162.9,Kg per capita,Hazardous waste generated per capita
2012,137.2,Kg per capita,Hazardous waste generated per capita
2016,148.0,Kg per capita,Hazardous waste generated per capita
2011,150.9,Kg per capita,Hazardous waste generated per capita
2019,150.1,Kg per capita,Hazardous waste generated per capita
2017,145.3,Kg per capita,Hazardous waste generated per capita
2021,150.7,Kg per capita,Hazardous waste generated per capita
2022,157.5,Kg per capita,Hazardous waste generated per capita
2020,144.9,Kg per capita,Hazardous waste generated per capita
2013,130.7,Kg per capita,Hazardous waste generated per capita
2015,150.9,Kg per capita,Hazardous waste generated per capita
