Year,Value,Units,Series
2019,31.3,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2017,29.0,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2016,27.2,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2015,39.5,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2020,29.9,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2021,30.0,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2023,27.8,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2018,41.1,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2022,37.1,"Per 100,000","Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants"
2023,569.0,Number,Number of premature deaths due to exposure to fine particulate matter
2021,607.0,Number,Number of premature deaths due to exposure to fine particulate matter
2016,560.0,Number,Number of premature deaths due to exposure to fine particulate matter
2020,606.0,Number,Number of premature deaths due to exposure to fine particulate matter
2018,836.0,Number,Number of premature deaths due to exposure to fine particulate matter
2019,636.0,Number,Number of premature deaths due to exposure to fine particulate matter
2015,821.0,Number,Number of premature deaths due to exposure to fine particulate matter
2017,594.0,Number,Number of premature deaths due to exposure to fine particulate matter
2022,750.0,Number,Number of premature deaths due to exposure to fine particulate matter
