Year,Value,Units,Series
2011,46.2,%,Participation rate of the population aged 18 to 64 in educational activities in the last 12 months
2022,52.9,%,Participation rate of the population aged 18 to 64 in educational activities in the last 12 months
2016,48.1,%,Participation rate of the population aged 18 to 64 in educational activities in the last 12 months
2018,18.2,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2022,21.9,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2015,24.4,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2013,17.9,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2016,22.9,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2012,12.3,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2011,11.8,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2010,11.8,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2014,20.7,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2017,18.4,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2021,23.0,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2024,24.9,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2020,20.8,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2023,24.0,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
2019,20.4,%,Participation rate of th populatión aged 15 to 64 in formal and non-formal education and training in the last 4 weeks
