Year,Value,Units,GeoCode
2016,1.5,%,
2015,1.3,%,
2018,2.0,%,
2014,1.3,%,
2017,1.9,%,
2023,4.8,%,
2012,1.1,%,
2021,3.5,%,
2024,5.9,%,
2009,0.7,%,
2008,0.6,%,
2011,0.9,%,
2010,0.8,%,
2019,2.5,%,
2020,3.0,%,
2013,1.2,%,
2022,4.1,%,
