Year,Value,Units
2023,1.8,"Per 1,000 live births"
2017,1.4,"Per 1,000 live births"
2020,1.8,"Per 1,000 live births"
2024,1.2,"Per 1,000 live births"
2019,2.1,"Per 1,000 live births"
2014,1.5,"Per 1,000 live births"
2013,1.5,"Per 1,000 live births"
2011,1.7,"Per 1,000 live births"
2010,1.7,"Per 1,000 live births"
2022,2.2,"Per 1,000 live births"
2016,1.4,"Per 1,000 live births"
2021,1.5,"Per 1,000 live births"
2018,2.2,"Per 1,000 live births"
2012,1.7,"Per 1,000 live births"
2015,1.7,"Per 1,000 live births"
