Year,Value,Units
2008,6.0,%
2009,6.3,%
2010,9.1,%
2011,10.4,%
2012,10.1,%
2013,8.3,%
2014,8.3,%
2015,9.0,%
2016,7.4,%
2017,8.6,%
2018,7.7,%
2019,8.0,%
2020,9.0,%
2021,9.4,%
2022,10.2,%
2023,8.9,%
2024,9.0,%
