Year,Value,Units
2025,1.53,"Per 1,000 inhabitants"
2010,3.2,"Per 1,000 inhabitants"
2011,2.91,"Per 1,000 inhabitants"
2020,1.64,"Per 1,000 inhabitants"
2013,2.76,"Per 1,000 inhabitants"
2016,2.29,"Per 1,000 inhabitants"
2017,2.14,"Per 1,000 inhabitants"
2023,1.58,"Per 1,000 inhabitants"
2014,2.73,"Per 1,000 inhabitants"
2012,2.94,"Per 1,000 inhabitants"
2024,1.32,"Per 1,000 inhabitants"
2018,1.79,"Per 1,000 inhabitants"
2022,1.58,"Per 1,000 inhabitants"
2021,1.55,"Per 1,000 inhabitants"
2019,1.94,"Per 1,000 inhabitants"
2015,2.39,"Per 1,000 inhabitants"
