Year,Value,Units,Series
2022,85.0,%,Proportion of Regional and local government revenue from taxes
2013,80.3,%,Proportion of Regional and local government revenue from taxes
2021,77.1,%,Proportion of Regional and local government revenue from taxes
2017,83.6,%,Proportion of Regional and local government revenue from taxes
2012,75.5,%,Proportion of Regional and local government revenue from taxes
2015,80.8,%,Proportion of Regional and local government revenue from taxes
2016,81.1,%,Proportion of Regional and local government revenue from taxes
2018,83.0,%,Proportion of Regional and local government revenue from taxes
2010,69.8,%,Proportion of Regional and local government revenue from taxes
2023,82.6,%,Proportion of Regional and local government revenue from taxes
2020,75.7,%,Proportion of Regional and local government revenue from taxes
2011,74.6,%,Proportion of Regional and local government revenue from taxes
2019,86.0,%,Proportion of Regional and local government revenue from taxes
2014,82.2,%,Proportion of Regional and local government revenue from taxes
2010,82.2,%,Proportion of non-financial revenue of Regional and local governments from taxes
2011,82.0,%,Proportion of non-financial revenue of Regional and local governments from taxes
2013,89.9,%,Proportion of non-financial revenue of Regional and local governments from taxes
2014,90.9,%,Proportion of non-financial revenue of Regional and local governments from taxes
2022,87.7,%,Proportion of non-financial revenue of Regional and local governments from taxes
2015,89.1,%,Proportion of non-financial revenue of Regional and local governments from taxes
2016,88.9,%,Proportion of non-financial revenue of Regional and local governments from taxes
2017,90.1,%,Proportion of non-financial revenue of Regional and local governments from taxes
2018,90.6,%,Proportion of non-financial revenue of Regional and local governments from taxes
2012,83.4,%,Proportion of non-financial revenue of Regional and local governments from taxes
2019,91.4,%,Proportion of non-financial revenue of Regional and local governments from taxes
2020,88.0,%,Proportion of non-financial revenue of Regional and local governments from taxes
2021,84.6,%,Proportion of non-financial revenue of Regional and local governments from taxes
2023,88.8,%,Proportion of non-financial revenue of Regional and local governments from taxes
