Year,Value,Units,Series
2012,20446954.85,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2010,21745903.02,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2023,16193878.49,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2013,18813755.08,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2020,16458399.66,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2019,18599385.12,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2022,18257908.89,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2017,19738340.42,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2011,20245191.39,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2018,19081397.43,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2014,18844234.63,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2016,18745087.37,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2021,17607243.41,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2015,19467497.86,Tons of CO2 equivalent,Total greenhouse gas emissions per year
2017,0.24,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2010,0.29,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2019,0.22,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2020,0.21,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2012,0.28,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2011,0.27,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2023,0.18,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2015,0.26,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2014,0.25,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2013,0.26,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2021,0.21,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2022,0.21,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2016,0.24,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2018,0.23,Kg of CO2 equivalent per euro,Total greenhouse gas emissions per unit of GDP
2021,8.04,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2019,8.48,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2016,8.62,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2017,9.06,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2023,7.36,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2018,8.74,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2010,10.01,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2012,9.38,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2014,8.67,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2015,8.96,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2013,8.65,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2020,7.49,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2011,9.3,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2022,8.34,Tons of CO2 equivalent per capita,Total greenhouse gas emissions per capita
2011,-2.46,%,Greenhouse gas emissions compared to 1990
2019,-10.39,%,Greenhouse gas emissions compared to 1990
2012,-1.49,%,Greenhouse gas emissions compared to 1990
2017,-4.9,%,Greenhouse gas emissions compared to 1990
2018,-8.07,%,Greenhouse gas emissions compared to 1990
2016,-9.69,%,Greenhouse gas emissions compared to 1990
2010,4.77,%,Greenhouse gas emissions compared to 1990
2021,-15.17,%,Greenhouse gas emissions compared to 1990
2020,-20.71,%,Greenhouse gas emissions compared to 1990
2013,-9.36,%,Greenhouse gas emissions compared to 1990
2023,-21.98,%,Greenhouse gas emissions compared to 1990
2014,-9.21,%,Greenhouse gas emissions compared to 1990
2015,-6.21,%,Greenhouse gas emissions compared to 1990
2022,-12.04,%,Greenhouse gas emissions compared to 1990
2020,-35.52,%,Greenhouse gas emissions compared to 2005
2014,-26.17,%,Greenhouse gas emissions compared to 2005
2022,-28.47,%,Greenhouse gas emissions compared to 2005
2019,-27.13,%,Greenhouse gas emissions compared to 2005
2012,-19.89,%,Greenhouse gas emissions compared to 2005
2013,-26.29,%,Greenhouse gas emissions compared to 2005
2016,-26.56,%,Greenhouse gas emissions compared to 2005
2018,-25.24,%,Greenhouse gas emissions compared to 2005
2015,-23.73,%,Greenhouse gas emissions compared to 2005
2023,-36.55,%,Greenhouse gas emissions compared to 2005
2017,-22.67,%,Greenhouse gas emissions compared to 2005
2021,-31.02,%,Greenhouse gas emissions compared to 2005
2010,-14.8,%,Greenhouse gas emissions compared to 2005
2011,-20.68,%,Greenhouse gas emissions compared to 2005
