Year,Value,Units,Series
2022,2.6,Index,Food price anomaly indicator
2009,-1.0,Index,Food price anomaly indicator
2008,0.6,Index,Food price anomaly indicator
2021,-0.3,Index,Food price anomaly indicator
2004,0.3,Index,Food price anomaly indicator
2014,-0.9,Index,Food price anomaly indicator
2019,-0.5,Index,Food price anomaly indicator
2017,-0.4,Index,Food price anomaly indicator
2006,0.2,Index,Food price anomaly indicator
2011,-0.3,Index,Food price anomaly indicator
2023,1.9,Index,Food price anomaly indicator
2003,0.4,Index,Food price anomaly indicator
2010,-0.9,Index,Food price anomaly indicator
2020,-0.2,Index,Food price anomaly indicator
2012,0.0,Index,Food price anomaly indicator
2016,-0.5,Index,Food price anomaly indicator
2005,0.1,Index,Food price anomaly indicator
2007,0.5,Index,Food price anomaly indicator
2015,-0.4,Index,Food price anomaly indicator
2018,-0.5,Index,Food price anomaly indicator
2024,0.2,Index,Food price anomaly indicator
2013,-0.2,Index,Food price anomaly indicator
2024,129.1,Index,Food price index
2019,95.6,Index,Food price index
2009,83.9,Index,Food price index
2012,87.3,Index,Food price index
2021,100.0,Index,Food price index
2016,92.1,Index,Food price index
2002,64.9,Index,Food price index
2004,70.6,Index,Food price index
2003,67.7,Index,Food price index
2018,94.7,Index,Food price index
2011,85.0,Index,Food price index
2020,98.2,Index,Food price index
2008,84.1,Index,Food price index
2023,123.7,Index,Food price index
2005,73.2,Index,Food price index
2010,83.3,Index,Food price index
2015,90.6,Index,Food price index
2017,93.3,Index,Food price index
2007,79.1,Index,Food price index
2013,89.9,Index,Food price index
2006,76.2,Index,Food price index
2022,111.4,Index,Food price index
2014,89.3,Index,Food price index
