Year,Value,Units
2014,16.2,PT
2015,18.2,PT
2016,15.9,PT
2017,15.0,PT
2018,12.2,PT
2019,15.0,PT
2020,13.6,PT
2021,16.0,PT
2022,15.7,PT
2023,15.5,PT
2024,14.8,PT
