Year,Value,Units
2010,-17.19,Index
2011,-25.9,Index
2012,-21.64,Index
2013,-28.59,Index
2014,-29.31,Index
2015,-27.84,Index
2016,-28.02,Index
2017,-25.72,Index
2018,-26.89,Index
2019,-23.06,Index
2020,-32.28,Index
2021,-26.48,Index
2022,-20.65,Index
