Year,Value,Units
2010,31.7,%
2011,32.7,%
2012,32.8,%
2013,32.1,%
2014,31.8,%
2015,32.2,%
2016,32.7,%
2017,32.7,%
2018,32.7,%
2019,33.4,%
2020,34.6,%
2021,32.3,%
2022,30.2,%
2023,33.4,%
